日付,検査員名,シフト,検査数,合格数
2024-01-01,山田,日勤,72,71
2024-01-01,中村,日勤,93,89
2024-01-01,鈴木,日勤,99,95
2024-01-01,高橋,日勤,90,84
2024-01-01,山田,夜勤,71,65
2024-01-01,鈴木,夜勤,78,73
2024-01-01,佐藤,夜勤,83,76
2024-01-01,中村,夜勤,86,84
2024-01-02,山田,日勤,78,76
2024-01-02,鈴木,日勤,91,83
2024-01-02,佐藤,日勤,87,79
2024-01-02,中村,日勤,90,84
2024-01-02,伊藤,夜勤,76,72
2024-01-02,渡辺,夜勤,95,93
2024-01-02,佐藤,夜勤,97,87
2024-01-02,鈴木,夜勤,97,94
2024-01-03,渡辺,日勤,78,76
2024-01-03,鈴木,日勤,64,58
2024-01-03,田中,日勤,66,62
2024-01-03,山田,日勤,76,71
2024-01-03,中村,夜勤,99,93
2024-01-03,高橋,夜勤,64,61
2024-01-03,伊藤,夜勤,63,62
2024-01-03,鈴木,夜勤,72,67
2024-01-04,高橋,日勤,90,87
2024-01-04,佐藤,日勤,74,72
2024-01-04,伊藤,日勤,96,89
2024-01-04,鈴木,日勤,92,85
2024-01-04,伊藤,夜勤,95,86
2024-01-04,渡辺,夜勤,82,74
2024-01-04,中村,夜勤,95,86
2024-01-04,鈴木,夜勤,72,65
2024-01-05,山田,日勤,94,84
2024-01-05,田中,日勤,90,86
2024-01-05,鈴木,日勤,89,81
2024-01-05,佐藤,日勤,92,84
2024-01-05,渡辺,夜勤,92,83
2024-01-05,田中,夜勤,76,73
2024-01-05,伊藤,夜勤,75,69
2024-01-05,鈴木,夜勤,73,69
2024-01-06,高橋,日勤,76,69
2024-01-06,渡辺,日勤,68,65
2024-01-06,山田,日勤,98,88
2024-01-06,伊藤,日勤,64,58
2024-01-06,高橋,夜勤,99,90
2024-01-06,渡辺,夜勤,99,93
2024-01-06,鈴木,夜勤,86,80
2024-01-06,田中,夜勤,67,66
2024-01-07,渡辺,日勤,78,72
2024-01-07,山田,日勤,86,83
2024-01-07,伊藤,日勤,60,56
2024-01-07,中村,日勤,82,79
