日付,社員ID,氏名,部門,費目,金額,予算,領収書番号
2024/01/04,EMP-125,社員048,営業部,接待費,21049,5208,RCP-2024010000
2024/01/24,EMP-204,社員044,営業部,研修費,21395,5208,RCP-2024010001
2024/01/02,EMP-130,社員006,営業部,宿泊費,15623,5208,RCP-2024010002
2024/01/01,EMP-674,社員013,営業部,研修費,64987,5208,RCP-2024010003
2024/01/19,EMP-384,社員001,営業部,宿泊費,21848,5208,RCP-2024010004
2024/01/05,EMP-320,社員049,営業部,接待費,25658,5208,RCP-2024010005
2024/01/28,EMP-452,社員039,営業部,接待費,7847,5208,RCP-2024010006
2024/01/18,EMP-227,社員025,営業部,交通費,9544,5208,RCP-2024010007
2024/01/21,EMP-733,社員024,営業部,通信費,2075,5208,RCP-2024010008
2024/01/02,EMP-777,社員015,営業部,接待費,10229,5208,RCP-2024010009
2024/01/28,EMP-203,社員025,営業部,接待費,34714,5208,RCP-2024010010
2024/01/12,EMP-266,社員024,営業部,接待費,18730,5208,RCP-2024010011
2024/01/23,EMP-799,社員042,営業部,交通費,10480,5208,RCP-2024010012
2024/01/18,EMP-846,社員016,営業部,宿泊費,23147,5208,RCP-2024010013
2024/01/21,EMP-804,社員036,営業部,宿泊費,18626,5208,RCP-2024010014
2024/01/25,EMP-157,社員015,営業部,交通費,13689,5208,RCP-2024010015
2024/01/09,EMP-167,社員014,営業部,通信費,3077,5208,RCP-2024010016
2024/01/16,EMP-505,社員042,営業部,消耗品費,1470,5208,RCP-2024010017
2024/01/08,EMP-862,社員036,営業部,通信費,2652,5208,RCP-2024010018
2024/01/14,EMP-697,社員026,営業部,接待費,19373,5208,RCP-2024010019
2024/01/05,EMP-621,社員032,営業部,交通費,28589,5208,RCP-2024010020
2024/01/21,EMP-263,社員044,営業部,消耗品費,14327,5208,RCP-2024010021
2024/01/15,EMP-641,社員017,営業部,通信費,594,5208,RCP-2024010022
2024/01/04,EMP-798,社員035,営業部,接待費,47006,5208,RCP-2024010023
2024/01/10,EMP-545,社員011,営業部,消耗品費,326,5208,RCP-2024010024
2024/01/24,EMP-369,社員033,営業部,宿泊費,24635,5208,RCP-2024010025
2024/01/28,EMP-740,社員020,営業部,研修費,76540,5208,RCP-2024010026
2024/01/05,EMP-482,社員049,営業部,宿泊費,25674,5208,RCP-2024010027
2024/01/17,EMP-100,社員039,営業部,接待費,142834,5208,RCP-2024010028
2024/01/27,EMP-926,社員020,営業部,宿泊費,9898,5208,RCP-2024010029
2024/01/19,EMP-180,社員006,営業部,研修費,73699,5208,RCP-2024010030
2024/01/25,EMP-645,社員050,営業部,宿泊費,12207,5208,RCP-2024010031
2024/01/18,EMP-269,社員017,営業部,通信費,3966,5208,RCP-2024010032
2024/01/18,EMP-873,社員047,営業部,研修費,36365,5208,RCP-2024010033
2024/01/13,EMP-787,社員042,営業部,接待費,33711,5208,RCP-2024010034
2024/01/15,EMP-223,社員016,営業部,宿泊費,10098,5208,RCP-2024010035
2024/01/19,EMP-667,社員015,営業部,通信費,7869,5208,RCP-2024010036
2024/01/02,EMP-334,社員005,営業部,交通費,14584,5208,RCP-2024010037
2024/01/17,EMP-343,社員018,営業部,研修費,73624,5208,RCP-2024010038
2024/01/05,EMP-840,社員037,営業部,通信費,4372,5208,RCP-2024010039
2024/01/16,EMP-926,社員027,営業部,宿泊費,31740,5208,RCP-2024010040
2024/01/14,EMP-520,社員030,営業部,研修費,17100,5208,RCP-2024010041
2024/01/21,EMP-200,社員004,営業部,消耗品費,6265,5208,RCP-2024010042
2024/01/28,EMP-211,社員016,営業部,宿泊費,14232,5208,RCP-2024010043
2024/01/05,EMP-532,社員012,営業部,接待費,35318,5208,RCP-2024010044
2024/01/03,EMP-553,社員036,営業部,交通費,1328,5208,RCP-2024010045
2024/01/18,EMP-956,社員001,営業部,交通費,12846,5208,RCP-2024010046
2024/01/06,EMP-516,社員032,営業部,消耗品費,2051,5208,RCP-2024010047
2024/01/02,EMP-268,社員025,営業部,交通費,6896,5208,RCP-2024010048
2024/01/26,EMP-903,社員030,営業部,接待費,32722,5208,RCP-2024010049
2024/01/24,EMP-902,社員036,営業部,研修費,73788,5208,RCP-2024010050
2024/01/10,EMP-322,社員004,営業部,通信費,12981,5208,RCP-2024010051
2024/01/02,EMP-698,社員031,営業部,通信費,4850,5208,RCP-2024010052
2024/01/17,EMP-182,社員012,営業部,交通費,38163,5208,RCP-2024010053
2024/01/13,EMP-222,社員037,営業部,宿泊費,26970,5208,RCP-2024010054
2024/01/20,EMP-183,社員027,営業部,研修費,78522,5208,RCP-2024010055
2024/01/09,EMP-309,社員043,営業部,研修費,51180,5208,RCP-2024010056
2024/01/13,EMP-234,社員043,営業部,研修費,49321,5208,RCP-2024010057
2024/01/25,EMP-174,社員001,営業部,消耗品費,5388,5208,RCP-2024010058
2024/01/04,EMP-175,社員035,営業部,宿泊費,24576,5208,RCP-2024010059
2024/01/12,EMP-170,社員016,営業部,接待費,23676,5208,RCP-2024010060
2024/01/27,EMP-656,社員046,営業部,接待費,45086,5208,RCP-2024010061
2024/01/26,EMP-769,社員034,営業部,交通費,11442,5208,RCP-2024010062
2024/01/10,EMP-779,社員007,営業部,宿泊費,16666,5208,RCP-2024010063
2024/01/04,EMP-860,社員036,営業部,宿泊費,16924,5208,RCP-2024010064
2024/01/07,EMP-834,社員022,営業部,宿泊費,28782,5208,RCP-2024010065
2024/01/17,EMP-600,社員017,営業部,交通費,2012,5208,RCP-2024010066
2024/01/27,EMP-383,社員003,営業部,交通費,5964,5208,RCP-2024010067
2024/01/21,EMP-368,社員011,営業部,研修費,67912,5208,RCP-2024010068
2024/01/14,EMP-674,社員001,営業部,交通費,1732,5208,RCP-2024010069
2024/01/23,EMP-252,社員035,営業部,交通費,14174,5208,RCP-2024010070
2024/01/18,EMP-251,社員028,営業部,宿泊費,9370,5208,RCP-2024010071
2024/01/26,EMP-981,社員003,営業部,接待費,18767,5208,RCP-2024010072
2024/01/22,EMP-205,社員023,営業部,通信費,3829,5208,RCP-2024010073
2024/01/24,EMP-258,社員016,営業部,宿泊費,13801,5208,RCP-2024010074
2024/01/01,EMP-283,社員048,営業部,接待費,31982,5208,RCP-2024010075
2024/01/28,EMP-852,社員016,営業部,接待費,15433,5208,RCP-2024010076
2024/01/04,EMP-491,社員003,営業部,消耗品費,2122,5208,RCP-2024010077
2024/01/15,EMP-458,社員020,営業部,宿泊費,36519,5208,RCP-2024010078
2024/01/11,EMP-385,社員005,営業部,接待費,28012,5208,RCP-2024010079
2024/01/13,EMP-795,社員035,営業部,接待費,6808,5208,RCP-2024010080
2024/01/09,EMP-282,社員038,営業部,接待費,7507,5208,RCP-2024010081
2024/01/14,EMP-453,社員047,営業部,接待費,33599,5208,RCP-2024010082
2024/01/17,EMP-218,社員025,営業部,通信費,2057,5208,RCP-2024010083
2024/01/23,EMP-546,社員001,営業部,通信費,4910,5208,RCP-2024010084
2024/01/24,EMP-854,社員043,営業部,宿泊費,19934,5208,RCP-2024010085
2024/01/22,EMP-438,社員040,営業部,接待費,48475,5208,RCP-2024010086
2024/01/24,EMP-407,社員033,営業部,接待費,48705,5208,RCP-2024010087
2024/01/13,EMP-813,社員019,営業部,通信費,1542,5208,RCP-2024010088
2024/01/22,EMP-488,社員044,営業部,研修費,32810,5208,RCP-2024010089
2024/01/10,EMP-515,社員036,営業部,交通費,5478,5208,RCP-2024010090
2024/01/14,EMP-904,社員038,営業部,通信費,3139,5208,RCP-2024010091
2024/01/15,EMP-791,社員014,営業部,通信費,4376,5208,RCP-2024010092
2024/01/26,EMP-853,社員011,営業部,研修費,21114,5208,RCP-2024010093
2024/01/22,EMP-748,社員040,営業部,接待費,11120,5208,RCP-2024010094
2024/01/25,EMP-340,社員044,営業部,接待費,19722,5208,RCP-2024010095
