Date,EmployeeID,Name,Department,ExpenseType,Amount,Budget,ReceiptNo
2024/01/01,EMP-147,社員016,経理部,消耗品費,5307,3636,RCP-2024010000
2024/01/03,EMP-566,社員027,経理部,研修費,35485,3636,RCP-2024010001
2024/01/13,EMP-606,社員026,経理部,宿泊費,12835,3636,RCP-2024010002
2024/01/01,EMP-868,社員050,経理部,交通費,13253,3636,RCP-2024010003
2024/01/06,EMP-923,社員045,経理部,通信費,10755,3636,RCP-2024010004
2024/01/28,EMP-224,社員030,経理部,宿泊費,23225,3636,RCP-2024010005
2024/01/18,EMP-709,社員021,経理部,消耗品費,5318,3636,RCP-2024010006
2024/01/17,EMP-536,社員036,経理部,消耗品費,7649,3636,RCP-2024010007
2024/01/28,EMP-586,社員029,経理部,接待費,21203,3636,RCP-2024010008
2024/01/09,EMP-884,社員050,経理部,通信費,4469,3636,RCP-2024010009
2024/01/09,EMP-550,社員005,経理部,研修費,47450,3636,RCP-2024010010
2024/01/11,EMP-427,社員035,経理部,交通費,2767,3636,RCP-2024010011
2024/01/13,EMP-810,社員010,経理部,研修費,107098,3636,RCP-2024010012
2024/01/18,EMP-577,社員027,経理部,交通費,3888,3636,RCP-2024010013
2024/01/13,EMP-888,社員038,経理部,研修費,12560,3636,RCP-2024010014
2024/01/25,EMP-689,社員025,経理部,消耗品費,348,3636,RCP-2024010015
2024/01/10,EMP-871,社員025,経理部,消耗品費,4709,3636,RCP-2024010016
2024/01/18,EMP-919,社員039,経理部,宿泊費,23998,3636,RCP-2024010017
2024/01/14,EMP-597,社員002,経理部,消耗品費,3053,3636,RCP-2024010018
2024/01/26,EMP-514,社員047,経理部,宿泊費,23315,3636,RCP-2024010019
2024/01/20,EMP-646,社員002,経理部,消耗品費,5148,3636,RCP-2024010020
2024/01/01,EMP-185,社員042,経理部,消耗品費,1411,3636,RCP-2024010021
2024/01/06,EMP-151,社員017,経理部,消耗品費,2981,3636,RCP-2024010022
2024/01/11,EMP-445,社員049,経理部,消耗品費,2579,3636,RCP-2024010023
2024/01/27,EMP-531,社員017,経理部,交通費,25261,3636,RCP-2024010024
2024/01/12,EMP-329,社員042,経理部,交通費,13299,3636,RCP-2024010025
2024/01/02,EMP-872,社員002,経理部,宿泊費,14532,3636,RCP-2024010026
2024/01/20,EMP-256,社員016,経理部,宿泊費,23517,3636,RCP-2024010027
2024/01/19,EMP-323,社員030,経理部,研修費,43586,3636,RCP-2024010028
2024/01/06,EMP-720,社員039,経理部,研修費,25012,3636,RCP-2024010029
2024/01/06,EMP-418,社員007,経理部,通信費,710,3636,RCP-2024010030
2024/01/19,EMP-793,社員025,経理部,消耗品費,6157,3636,RCP-2024010031
2024/01/19,EMP-807,社員041,経理部,宿泊費,11339,3636,RCP-2024010032
2024/01/10,EMP-970,社員044,経理部,通信費,1491,3636,RCP-2024010033
2024/01/19,EMP-901,社員003,経理部,接待費,39913,3636,RCP-2024010034
2024/01/12,EMP-170,社員033,経理部,研修費,155425,3636,RCP-2024010035
2024/01/16,EMP-208,社員028,経理部,接待費,46653,3636,RCP-2024010036
2024/01/15,EMP-824,社員010,経理部,消耗品費,1742,3636,RCP-2024010037
2024/01/21,EMP-376,社員040,経理部,通信費,4460,3636,RCP-2024010038
2024/01/27,EMP-848,社員038,経理部,接待費,26122,3636,RCP-2024010039
2024/01/27,EMP-188,社員018,経理部,消耗品費,2297,3636,RCP-2024010040
2024/01/19,EMP-724,社員043,経理部,消耗品費,11309,3636,RCP-2024010041
2024/01/06,EMP-599,社員014,経理部,接待費,21931,3636,RCP-2024010042
2024/01/20,EMP-818,社員018,経理部,通信費,583,3636,RCP-2024010043
2024/01/07,EMP-187,社員016,経理部,研修費,63271,3636,RCP-2024010044
2024/01/25,EMP-346,社員045,経理部,消耗品費,5591,3636,RCP-2024010045
2024/01/15,EMP-911,社員002,経理部,交通費,5320,3636,RCP-2024010046
2024/01/23,EMP-349,社員020,経理部,研修費,58368,3636,RCP-2024010047
2024/01/17,EMP-452,社員028,経理部,研修費,53357,3636,RCP-2024010048
2024/01/15,EMP-377,社員020,経理部,接待費,20108,3636,RCP-2024010049
2024/01/07,EMP-423,社員008,経理部,研修費,34267,3636,RCP-2024010050
2024/01/24,EMP-595,社員018,経理部,研修費,78765,3636,RCP-2024010051
2024/01/04,EMP-952,社員013,経理部,接待費,19908,3636,RCP-2024010052
2024/01/10,EMP-114,社員046,経理部,通信費,1536,3636,RCP-2024010053
2024/01/02,EMP-666,社員019,経理部,研修費,26551,3636,RCP-2024010054
