日付,社員ID,氏名,部門,費目,金額,予算,領収書番号
2024/01/04,EMP-791,社員015,開発部,消耗品費,505,4430,RCP-2024010000
2024/01/18,EMP-435,社員040,開発部,宿泊費,106593,4430,RCP-2024010001
2024/01/23,EMP-409,社員042,開発部,消耗品費,1255,4430,RCP-2024010002
2024/01/02,EMP-411,社員032,開発部,交通費,2092,4430,RCP-2024010003
2024/01/18,EMP-238,社員025,開発部,消耗品費,3339,4430,RCP-2024010004
2024/01/24,EMP-813,社員035,開発部,消耗品費,5111,4430,RCP-2024010005
2024/01/05,EMP-524,社員042,開発部,交通費,14159,4430,RCP-2024010006
2024/01/14,EMP-386,社員003,開発部,研修費,58566,4430,RCP-2024010007
2024/01/15,EMP-341,社員024,開発部,交通費,11734,4430,RCP-2024010008
2024/01/21,EMP-467,社員004,開発部,消耗品費,2560,4430,RCP-2024010009
2024/01/04,EMP-968,社員030,開発部,交通費,11358,4430,RCP-2024010010
2024/01/21,EMP-711,社員002,開発部,交通費,13390,4430,RCP-2024010011
2024/01/05,EMP-905,社員037,開発部,宿泊費,10248,4430,RCP-2024010012
2024/01/18,EMP-312,社員038,開発部,宿泊費,15634,4430,RCP-2024010013
2024/01/05,EMP-907,社員039,開発部,交通費,5042,4430,RCP-2024010014
2024/01/05,EMP-233,社員035,開発部,接待費,16435,4430,RCP-2024010015
2024/01/28,EMP-126,社員009,開発部,交通費,6369,4430,RCP-2024010016
2024/01/08,EMP-702,社員021,開発部,交通費,3354,4430,RCP-2024010017
2024/01/05,EMP-859,社員027,開発部,通信費,1431,4430,RCP-2024010018
2024/01/16,EMP-559,社員050,開発部,接待費,38635,4430,RCP-2024010019
2024/01/15,EMP-615,社員015,開発部,通信費,855,4430,RCP-2024010020
2024/01/28,EMP-774,社員034,開発部,接待費,35018,4430,RCP-2024010021
2024/01/01,EMP-162,社員031,開発部,消耗品費,3792,4430,RCP-2024010022
2024/01/16,EMP-829,社員029,開発部,交通費,1823,4430,RCP-2024010023
2024/01/05,EMP-167,社員009,開発部,接待費,45915,4430,RCP-2024010024
2024/01/18,EMP-829,社員021,開発部,消耗品費,5193,4430,RCP-2024010025
2024/01/15,EMP-617,社員039,開発部,消耗品費,1112,4430,RCP-2024010026
