日付,社員ID,氏名,部門,費目,金額,予算,領収書番号
2024/01/27,EMP-230,社員043,総務部,研修費,263915,3214,RCP-2024010000
2024/01/17,EMP-470,社員002,総務部,接待費,25241,3214,RCP-2024010001
2024/01/07,EMP-449,社員050,総務部,消耗品費,1872,3214,RCP-2024010002
2024/01/05,EMP-258,社員005,総務部,接待費,11628,3214,RCP-2024010003
2024/01/18,EMP-955,社員048,総務部,通信費,809,3214,RCP-2024010004
2024/01/25,EMP-732,社員009,総務部,通信費,3586,3214,RCP-2024010005
2024/01/06,EMP-951,社員045,総務部,通信費,1856,3214,RCP-2024010006
2024/01/02,EMP-520,社員024,総務部,研修費,41133,3214,RCP-2024010007
2024/01/20,EMP-391,社員049,総務部,研修費,68841,3214,RCP-2024010008
2024/01/08,EMP-416,社員031,総務部,宿泊費,20053,3214,RCP-2024010009
2024/01/19,EMP-551,社員030,総務部,接待費,30026,3214,RCP-2024010010
2024/01/14,EMP-265,社員013,総務部,通信費,1633,3214,RCP-2024010011
2024/01/02,EMP-756,社員031,総務部,接待費,41342,3214,RCP-2024010012
2024/01/23,EMP-966,社員034,総務部,交通費,11997,3214,RCP-2024010013
2024/01/15,EMP-625,社員010,総務部,消耗品費,1051,3214,RCP-2024010014
2024/01/08,EMP-936,社員029,総務部,接待費,6747,3214,RCP-2024010015
2024/01/13,EMP-614,社員024,総務部,宿泊費,20653,3214,RCP-2024010016
2024/01/12,EMP-329,社員002,総務部,接待費,11493,3214,RCP-2024010017
2024/01/21,EMP-443,社員010,総務部,宿泊費,9255,3214,RCP-2024010018
2024/01/27,EMP-583,社員045,総務部,宿泊費,23371,3214,RCP-2024010019
2024/01/01,EMP-181,社員002,総務部,接待費,19133,3214,RCP-2024010020
2024/01/18,EMP-844,社員039,総務部,通信費,3967,3214,RCP-2024010021
2024/01/10,EMP-343,社員020,総務部,交通費,1282,3214,RCP-2024010022
2024/01/21,EMP-912,社員040,総務部,消耗品費,814,3214,RCP-2024010023
2024/01/16,EMP-711,社員035,総務部,交通費,10853,3214,RCP-2024010024
2024/01/08,EMP-835,社員010,総務部,接待費,89637,3214,RCP-2024010025
2024/01/19,EMP-526,社員012,総務部,研修費,21221,3214,RCP-2024010026
2024/01/12,EMP-169,社員034,総務部,通信費,4656,3214,RCP-2024010027
2024/01/17,EMP-667,社員002,総務部,消耗品費,7454,3214,RCP-2024010028
2024/01/21,EMP-496,社員024,総務部,接待費,6064,3214,RCP-2024010029
2024/01/03,EMP-453,社員016,総務部,研修費,23587,3214,RCP-2024010030
2024/01/24,EMP-874,社員022,総務部,宿泊費,9452,3214,RCP-2024010031
2024/01/11,EMP-933,社員042,総務部,宿泊費,23224,3214,RCP-2024010032
2024/01/16,EMP-746,社員012,総務部,宿泊費,10067,3214,RCP-2024010033
2024/01/15,EMP-137,社員019,総務部,宿泊費,9435,3214,RCP-2024010034
2024/01/02,EMP-423,社員020,総務部,通信費,3762,3214,RCP-2024010035
2024/01/18,EMP-584,社員017,総務部,交通費,12841,3214,RCP-2024010036
2024/01/10,EMP-465,社員050,総務部,交通費,14685,3214,RCP-2024010037
2024/01/09,EMP-227,社員024,総務部,消耗品費,7586,3214,RCP-2024010038
2024/01/15,EMP-495,社員022,総務部,宿泊費,24259,3214,RCP-2024010039
2024/01/12,EMP-916,社員034,総務部,接待費,10414,3214,RCP-2024010040
2024/01/03,EMP-540,社員039,総務部,宿泊費,25874,3214,RCP-2024010041
2024/01/04,EMP-181,社員021,総務部,研修費,48750,3214,RCP-2024010042
2024/01/20,EMP-834,社員028,総務部,宿泊費,22545,3214,RCP-2024010043
2024/01/02,EMP-844,社員023,総務部,通信費,4063,3214,RCP-2024010044
2024/01/26,EMP-158,社員005,総務部,研修費,63242,3214,RCP-2024010045
2024/01/26,EMP-867,社員044,総務部,宿泊費,9020,3214,RCP-2024010046
2024/01/20,EMP-794,社員029,総務部,交通費,9134,3214,RCP-2024010047
2024/01/12,EMP-470,社員025,総務部,通信費,765,3214,RCP-2024010048
2024/01/22,EMP-560,社員024,総務部,接待費,34094,3214,RCP-2024010049
2024/01/19,EMP-240,社員034,総務部,接待費,31085,3214,RCP-2024010050
2024/01/09,EMP-355,社員008,総務部,交通費,12553,3214,RCP-2024010051
2024/01/17,EMP-496,社員036,総務部,交通費,4788,3214,RCP-2024010052
2024/01/23,EMP-556,社員014,総務部,通信費,2839,3214,RCP-2024010053
2024/01/16,EMP-304,社員008,総務部,宿泊費,10426,3214,RCP-2024010054
2024/01/23,EMP-555,社員006,総務部,研修費,51889,3214,RCP-2024010055
