date,employee_id,employee_name,department,expense_type,amount,budget,receipt_no,amount_imputed,source_file
2024-01-04,EMP-125,社員048,営業部,接待費,21049.0,5208.0,RCP-2024010000,False,01_営業部_経費_202401.csv
2024-01-24,EMP-204,社員044,営業部,研修費,21395.0,5208.0,RCP-2024010001,False,01_営業部_経費_202401.csv
2024-01-02,EMP-130,社員006,営業部,宿泊費,15623.0,5208.0,RCP-2024010002,False,01_営業部_経費_202401.csv
2024-01-01,EMP-674,社員013,営業部,研修費,64987.0,5208.0,RCP-2024010003,False,01_営業部_経費_202401.csv
2024-01-19,EMP-384,社員001,営業部,宿泊費,21848.0,5208.0,RCP-2024010004,False,01_営業部_経費_202401.csv
2024-01-05,EMP-320,社員049,営業部,接待費,25658.0,5208.0,RCP-2024010005,False,01_営業部_経費_202401.csv
2024-01-28,EMP-452,社員039,営業部,接待費,7847.0,5208.0,RCP-2024010006,False,01_営業部_経費_202401.csv
2024-01-18,EMP-227,社員025,営業部,交通費,9544.0,5208.0,RCP-2024010007,False,01_営業部_経費_202401.csv
2024-01-21,EMP-733,社員024,営業部,通信費,2075.0,5208.0,RCP-2024010008,False,01_営業部_経費_202401.csv
2024-01-02,EMP-777,社員015,営業部,接待費,10229.0,5208.0,RCP-2024010009,False,01_営業部_経費_202401.csv
2024-01-28,EMP-203,社員025,営業部,接待費,34714.0,5208.0,RCP-2024010010,False,01_営業部_経費_202401.csv
2024-01-12,EMP-266,社員024,営業部,接待費,18730.0,5208.0,RCP-2024010011,False,01_営業部_経費_202401.csv
2024-01-23,EMP-799,社員042,営業部,交通費,10480.0,5208.0,RCP-2024010012,False,01_営業部_経費_202401.csv
2024-01-18,EMP-846,社員016,営業部,宿泊費,23147.0,5208.0,RCP-2024010013,False,01_営業部_経費_202401.csv
2024-01-21,EMP-804,社員036,営業部,宿泊費,18626.0,5208.0,RCP-2024010014,False,01_営業部_経費_202401.csv
2024-01-25,EMP-157,社員015,営業部,交通費,13689.0,5208.0,RCP-2024010015,False,01_営業部_経費_202401.csv
