ドライバーID,氏名,営業所,乗務日,出庫時刻,帰庫時刻,休憩時間h,走行距離km,運行区分
DRV021,ドライバー21,名古屋営業所,2024-01-24,08:15,20:48,1.7,503.0,長距離
DRV029,ドライバー29,大阪営業所,2024-01-19,09:00,18:07,0.9,201.1,中距離
DRV001,ドライバー01,東京営業所,2024-01-23,10:45,20:37,1.2,261.9,中距離
DRV001,ドライバー01,東京営業所,2024-01-06,09:30,18:20,0.6,83.4,市内配送
DRV004,ドライバー04,東京営業所,2024-01-04,08:30,22:00,1.8,518.9,長距離
DRV018,ドライバー18,名古屋営業所,2024-01-30,09:00,22:22,1.8,485.6,長距離
DRV028,ドライバー28,東京営業所,2024-01-07,06:00,17:38,1.3,297.0,中距離
DRV028,ドライバー28,東京営業所,2024-01-04,09:30,22:38,1.8,348.8,長距離
DRV012,ドライバー12,名古屋営業所,2024-01-09,06:15,19:35,1.2,438.7,長距離
DRV009,ドライバー09,名古屋営業所,2024-01-21,10:15,20:18,0.9,84.3,市内配送
DRV008,ドライバー08,大阪営業所,2024-01-26,08:45,17:33,0.6,96.0,市内配送
DRV029,ドライバー29,大阪営業所,2024-01-07,09:45,20:24,0.8,40.0,市内配送
DRV005,ドライバー05,大阪営業所,2024-01-18,10:30,00:22,1.4,475.1,長距離
DRV012,ドライバー12,名古屋営業所,2024-01-05,10:45,22:58,1.0,332.9,長距離
DRV021,ドライバー21,名古屋営業所,2024-01-22,09:00,21:57,1.6,440.4,長距離
DRV009,ドライバー09,名古屋営業所,2024-01-28,06:00,16:02,0.8,48.7,市内配送
DRV021,ドライバー21,名古屋営業所,2024-01-10,09:15,20:03,1.5,275.2,中距離
DRV009,ドライバー09,名古屋営業所,2024-01-25,07:00,17:36,0.6,74.7,市内配送
DRV020,ドライバー20,大阪営業所,2024-01-12,07:00,20:29,1.5,333.6,長距離
DRV012,ドライバー12,名古屋営業所,2024-01-27,08:15,16:25,0.9,96.3,市内配送
DRV003,ドライバー03,名古屋営業所,2024-01-27,06:15,14:38,0.7,68.5,市内配送
DRV009,ドライバー09,名古屋営業所,2024-01-20,09:15,21:57,1.3,238.0,中距離
DRV023,ドライバー23,大阪営業所,2024-01-22,08:45,21:20,1.1,149.6,中距離
DRV003,ドライバー03,名古屋営業所,2024-01-19,10:15,21:36,0.8,241.6,中距離
