staff_id,name,store_id,employment_type,hourly_wage,work_date,clock_in,clock_out,break_minutes,work_hours,late_night
R002-S01,スタッフR00201,R002_渋谷店,アルバイト,1073,2024-01-01,13:00,19:42,45,6.7,False
R002-S02,スタッフR00202,R002_渋谷店,アルバイト,1187,2024-01-01,13:00,18:00,0,5.0,False
R002-S03,スタッフR00203,R002_渋谷店,アルバイト,1098,2024-01-01,15:30,20:24,0,4.9,False
R002-S04,スタッフR00204,R002_渋谷店,アルバイト,1063,2024-01-01,15:30,19:48,0,4.3,False
R002-S05,スタッフR00205,R002_渋谷店,パート,1168,2024-01-01,17:30,21:00,0,3.5,False
R002-S06,スタッフR00206,R002_渋谷店,アルバイト,1146,2024-01-01,17:30,01:06,45,7.6,True
R002-S07,スタッフR00207,R002_渋谷店,パート,1272,2024-01-01,16:00,21:48,0,5.8,False
R002-S08,スタッフR00208,R002_渋谷店,アルバイト,1060,2024-01-01,12:00,16:18,0,4.3,False
R002-S09,スタッフR00209,R002_渋谷店,パート,1118,2024-01-01,19:30,00:00,0,4.5,True
R002-S10,スタッフR00210,R002_渋谷店,パート,1148,2024-01-01,13:30,19:18,0,5.8,False
R002-S11,スタッフR00211,R002_渋谷店,社員,2189,2024-01-01,11:30,15:48,0,4.3,False
R002-S12,スタッフR00212,R002_渋谷店,アルバイト,1200,2024-01-01,21:30,02:48,0,5.3,True
R002-S13,スタッフR00213,R002_渋谷店,社員,2170,2024-01-01,10:00,13:42,0,3.7,False
R002-S14,スタッフR00214,R002_渋谷店,アルバイト,1193,2024-01-01,12:00,17:36,0,5.6,False
R002-S15,スタッフR00215,R002_渋谷店,アルバイト,1105,2024-01-01,11:00,17:48,45,6.8,False
R002-S16,スタッフR00216,R002_渋谷店,アルバイト,1172,2024-01-01,20:00,23:18,0,3.3,True
R002-S18,スタッフR00218,R002_渋谷店,アルバイト,1135,2024-01-01,17:30,20:48,0,3.3,False
R002-S19,スタッフR00219,R002_渋谷店,社員,1955,2024-01-01,11:30,17:48,45,6.3,False
R002-S01,スタッフR00201,R002_渋谷店,アルバイト,1073,2024-01-02,16:00,19:06,0,3.1,False
R002-S02,スタッフR00202,R002_渋谷店,アルバイト,1187,2024-01-02,18:30,21:36,0,3.1,False
R002-S03,スタッフR00203,R002_渋谷店,アルバイト,1098,2024-01-02,20:30,03:30,45,7.0,True
R002-S04,スタッフR00204,R002_渋谷店,アルバイト,1063,2024-01-02,11:00,16:36,0,5.6,False
R002-S05,スタッフR00205,R002_渋谷店,パート,1168,2024-01-02,19:30,02:36,45,7.1,True
R002-S06,スタッフR00206,R002_渋谷店,アルバイト,1146,2024-01-02,16:00,20:54,0,4.9,False
R002-S07,スタッフR00207,R002_渋谷店,パート,1272,2024-01-02,19:00,03:00,60,8.0,True
R002-S08,スタッフR00208,R002_渋谷店,アルバイト,1060,2024-01-02,20:00,02:18,45,6.3,True
R002-S09,スタッフR00209,R002_渋谷店,パート,1118,2024-01-02,10:00,15:00,0,5.0,False
R002-S10,スタッフR00210,R002_渋谷店,パート,1148,2024-01-02,17:00,23:12,45,6.2,True
R002-S11,スタッフR00211,R002_渋谷店,社員,2189,2024-01-02,09:30,16:42,45,7.2,False
R002-S12,スタッフR00212,R002_渋谷店,アルバイト,1200,2024-01-02,15:00,22:30,45,7.5,True
R002-S13,スタッフR00213,R002_渋谷店,社員,2170,2024-01-02,09:00,16:30,45,7.5,False
R002-S14,スタッフR00214,R002_渋谷店,アルバイト,1193,2024-01-02,19:30,23:54,0,4.4,True
R002-S15,スタッフR00215,R002_渋谷店,アルバイト,1105,2024-01-02,20:30,04:00,45,7.5,True
R002-S16,スタッフR00216,R002_渋谷店,アルバイト,1172,2024-01-02,10:00,17:36,45,7.6,False
R002-S17,スタッフR00217,R002_渋谷店,アルバイト,1103,2024-01-02,13:00,19:48,45,6.8,False
R002-S18,スタッフR00218,R002_渋谷店,アルバイト,1135,2024-01-02,16:00,20:30,0,4.5,False
R002-S19,スタッフR00219,R002_渋谷店,社員,1955,2024-01-02,11:30,17:54,45,6.4,False
R002-S20,スタッフR00220,R002_渋谷店,パート,1103,2024-01-02,16:00,23:00,45,7.0,True
R002-S01,スタッフR00201,R002_渋谷店,アルバイト,1073,2024-01-03,11:30,14:48,0,3.3,False
R002-S02,スタッフR00202,R002_渋谷店,アルバイト,1187,2024-01-03,11:30,17:30,45,6.0,False
R002-S03,スタッフR00203,R002_渋谷店,アルバイト,1098,2024-01-03,19:30,03:18,45,7.8,True
R002-S04,スタッフR00204,R002_渋谷店,アルバイト,1063,2024-01-03,20:30,03:24,45,6.9,True
R002-S05,スタッフR00205,R002_渋谷店,パート,1168,2024-01-03,13:30,19:18,0,5.8,False
R002-S06,スタッフR00206,R002_渋谷店,アルバイト,1146,2024-01-03,12:30,15:54,0,3.4,False
R002-S07,スタッフR00207,R002_渋谷店,パート,1272,2024-01-03,13:00,16:24,0,3.4,False
R002-S09,スタッフR00209,R002_渋谷店,パート,1118,2024-01-03,20:00,02:42,45,6.7,True
R002-S10,スタッフR00210,R002_渋谷店,パート,1148,2024-01-03,11:00,14:00,0,3.0,False
R002-S11,スタッフR00211,R002_渋谷店,社員,2189,2024-01-03,10:30,14:00,0,3.5,False
R002-S13,スタッフR00213,R002_渋谷店,社員,2170,2024-01-03,11:30,15:00,0,3.5,False
R002-S15,スタッフR00215,R002_渋谷店,アルバイト,1105,2024-01-03,19:30,02:48,45,7.3,True
R002-S17,スタッフR00217,R002_渋谷店,アルバイト,1103,2024-01-03,11:00,16:54,0,5.9,False
R002-S19,スタッフR00219,R002_渋谷店,社員,1955,2024-01-03,09:30,14:00,0,4.5,False
R002-S20,スタッフR00220,R002_渋谷店,パート,1103,2024-01-03,11:00,16:12,0,5.2,False
R002-S01,スタッフR00201,R002_渋谷店,アルバイト,1073,2024-01-04,17:00,21:48,0,4.8,False
R002-S02,スタッフR00202,R002_渋谷店,アルバイト,1187,2024-01-04,21:30,03:30,45,6.0,True
R002-S05,スタッフR00205,R002_渋谷店,パート,1168,2024-01-04,16:30,23:42,45,7.2,True
R002-S06,スタッフR00206,R002_渋谷店,アルバイト,1146,2024-01-04,15:30,20:12,0,4.7,False
R002-S07,スタッフR00207,R002_渋谷店,パート,1272,2024-01-04,20:00,00:30,0,4.5,True
R002-S08,スタッフR00208,R002_渋谷店,アルバイト,1060,2024-01-04,21:00,02:24,0,5.4,True
R002-S09,スタッフR00209,R002_渋谷店,パート,1118,2024-01-04,16:30,21:00,0,4.5,False
R002-S10,スタッフR00210,R002_渋谷店,パート,1148,2024-01-04,17:00,21:36,0,4.6,False
R002-S11,スタッフR00211,R002_渋谷店,社員,2189,2024-01-04,10:30,14:06,0,3.6,False
R002-S12,スタッフR00212,R002_渋谷店,アルバイト,1200,2024-01-04,19:00,01:24,45,6.4,True
R002-S13,スタッフR00213,R002_渋谷店,社員,2170,2024-01-04,11:30,19:12,45,7.7,False
R002-S14,スタッフR00214,R002_渋谷店,アルバイト,1193,2024-01-04,14:00,21:06,45,7.1,False
R002-S15,スタッフR00215,R002_渋谷店,アルバイト,1105,2024-01-04,16:30,20:12,0,3.7,False
R002-S16,スタッフR00216,R002_渋谷店,アルバイト,1172,2024-01-04,14:00,20:36,45,6.6,False
R002-S17,スタッフR00217,R002_渋谷店,アルバイト,1103,2024-01-04,11:30,19:30,60,8.0,False
R002-S18,スタッフR00218,R002_渋谷店,アルバイト,1135,2024-01-04,16:30,22:12,0,5.7,True
R002-S19,スタッフR00219,R002_渋谷店,社員,1955,2024-01-04,10:00,13:30,0,3.5,False
R002-S20,スタッフR00220,R002_渋谷店,パート,1103,2024-01-04,20:30,00:18,0,3.8,True
R002-S01,スタッフR00201,R002_渋谷店,アルバイト,1073,2024-01-05,19:30,03:18,45,7.8,True
R002-S02,スタッフR00202,R002_渋谷店,アルバイト,1187,2024-01-05,16:00,19:06,0,3.1,False
R002-S03,スタッフR00203,R002_渋谷店,アルバイト,1098,2024-01-05,18:00,23:12,0,5.2,True
R002-S04,スタッフR00204,R002_渋谷店,アルバイト,1063,2024-01-05,20:00,00:42,0,4.7,True
R002-S07,スタッフR00207,R002_渋谷店,パート,1272,2024-01-05,11:00,18:12,45,7.2,False
R002-S08,スタッフR00208,R002_渋谷店,アルバイト,1060,2024-01-05,15:30,20:12,0,4.7,False
R002-S09,スタッフR00209,R002_渋谷店,パート,1118,2024-01-05,18:30,23:12,0,4.7,True
R002-S11,スタッフR00211,R002_渋谷店,社員,2189,2024-01-05,10:30,13:48,0,3.3,False
