staff_id,name,store_id,employment_type,hourly_wage,work_date,clock_in,clock_out,break_minutes,work_hours,late_night,base_wage,late_night_premium,total_wage,overtime_hours,source_file
R001-S02,スタッフR00102,R001_新宿店,アルバイト,1158,2024-01-01,20:30,02:24,0,5.9,True,6832.2,1708.05,8540.25,0.0,shift_R001_202401.csv
R001-S03,スタッフR00103,R001_新宿店,アルバイト,1137,2024-01-01,10:00,16:54,45,6.9,False,7845.3,0.0,7845.3,0.0,shift_R001_202401.csv
R001-S04,スタッフR00104,R001_新宿店,アルバイト,1121,2024-01-01,13:00,17:54,0,4.9,False,5492.9,0.0,5492.9,0.0,shift_R001_202401.csv
R001-S05,スタッフR00105,R001_新宿店,パート,1139,2024-01-01,15:00,19:54,0,4.9,False,5581.1,0.0,5581.1,0.0,shift_R001_202401.csv
R001-S06,スタッフR00106,R001_新宿店,アルバイト,1105,2024-01-01,14:00,20:00,45,6.0,False,6630.0,0.0,6630.0,0.0,shift_R001_202401.csv
R001-S07,スタッフR00107,R001_新宿店,パート,1295,2024-01-01,21:00,00:48,0,3.8,True,4921.0,1230.25,6151.25,0.0,shift_R001_202401.csv
R001-S08,スタッフR00108,R001_新宿店,アルバイト,1136,2024-01-01,20:00,02:24,45,6.4,True,7270.4,1817.6,9088.0,0.0,shift_R001_202401.csv
R001-S09,スタッフR00109,R001_新宿店,アルバイト,1076,2024-01-01,10:00,17:06,45,7.1,False,7639.6,0.0,7639.6,0.0,shift_R001_202401.csv
R001-S10,スタッフR00110,R001_新宿店,アルバイト,1073,2024-01-01,16:30,19:48,0,3.3,False,3540.9,0.0,3540.9,0.0,shift_R001_202401.csv
R001-S11,スタッフR00111,R001_新宿店,アルバイト,1147,2024-01-01,19:30,23:35,0,4.1,True,4702.7,1175.68,5878.38,0.0,shift_R001_202401.csv
R001-S12,スタッフR00112,R001_新宿店,アルバイト,1074,2024-01-01,20:30,00:12,0,3.7,True,3973.8,993.45,4967.25,0.0,shift_R001_202401.csv
R001-S14,スタッフR00114,R001_新宿店,アルバイト,1138,2024-01-01,18:30,01:12,45,6.7,True,7624.6,1906.15,9530.75,0.0,shift_R001_202401.csv
R001-S15,スタッフR00115,R001_新宿店,アルバイト,1117,2024-01-01,19:30,00:18,0,4.8,True,5361.6,1340.4,6702.0,0.0,shift_R001_202401.csv
R001-S16,スタッフR00116,R001_新宿店,アルバイト,1061,2024-01-01,12:30,16:00,0,3.5,False,3713.5,0.0,3713.5,0.0,shift_R001_202401.csv
R001-S19,スタッフR00119,R001_新宿店,パート,1131,2024-01-01,20:30,02:30,45,6.0,True,6786.0,1696.5,8482.5,0.0,shift_R001_202401.csv
R001-S20,スタッフR00120,R001_新宿店,アルバイト,1146,2024-01-01,19:30,01:06,0,5.6,True,6417.6,1604.4,8022.0,0.0,shift_R001_202401.csv
R001-S01,スタッフR00101,R001_新宿店,アルバイト,1090,2024-01-02,10:00,16:24,45,6.4,False,6976.0,0.0,6976.0,0.0,shift_R001_202401.csv
R001-S02,スタッフR00102,R001_新宿店,アルバイト,1158,2024-01-02,14:30,18:06,0,3.6,False,4168.8,0.0,4168.8,0.0,shift_R001_202401.csv
R001-S03,スタッフR00103,R001_新宿店,アルバイト,1137,2024-01-02,17:00,00:48,45,7.8,True,8868.6,2217.15,11085.75,0.0,shift_R001_202401.csv
R001-S04,スタッフR00104,R001_新宿店,アルバイト,1121,2024-01-02,14:00,19:30,0,5.5,False,6165.5,0.0,6165.5,0.0,shift_R001_202401.csv
R001-S06,スタッフR00106,R001_新宿店,アルバイト,1105,2024-01-02,20:00,23:48,0,3.8,True,4199.0,1049.75,5248.75,0.0,shift_R001_202401.csv
R001-S07,スタッフR00107,R001_新宿店,パート,1295,2024-01-02,18:00,00:00,45,6.0,True,7770.0,1942.5,9712.5,0.0,shift_R001_202401.csv
R001-S08,スタッフR00108,R001_新宿店,アルバイト,1136,2024-01-02,11:30,18:54,45,7.4,False,8406.4,0.0,8406.4,0.0,shift_R001_202401.csv
R001-S09,スタッフR00109,R001_新宿店,アルバイト,1076,2024-01-02,14:00,17:18,0,3.3,False,3550.8,0.0,3550.8,0.0,shift_R001_202401.csv
R001-S10,スタッフR00110,R001_新宿店,アルバイト,1073,2024-01-02,11:00,17:42,45,6.7,False,7189.1,0.0,7189.1,0.0,shift_R001_202401.csv
R001-S11,スタッフR00111,R001_新宿店,アルバイト,1147,2024-01-02,18:00,21:36,0,3.6,False,4129.2,0.0,4129.2,0.0,shift_R001_202401.csv
R001-S12,スタッフR00112,R001_新宿店,アルバイト,1074,2024-01-02,18:00,22:18,0,4.3,True,4618.2,1154.55,5772.75,0.0,shift_R001_202401.csv
R001-S13,スタッフR00113,R001_新宿店,アルバイト,1141,2024-01-02,16:00,23:36,45,7.6,True,8671.6,2167.9,10839.5,0.0,shift_R001_202401.csv
R001-S14,スタッフR00114,R001_新宿店,アルバイト,1138,2024-01-02,21:00,03:36,45,6.6,True,7510.8,1877.7,9388.5,0.0,shift_R001_202401.csv
R001-S15,スタッフR00115,R001_新宿店,アルバイト,1117,2024-01-02,20:30,01:42,0,5.2,True,5808.4,1452.1,7260.5,0.0,shift_R001_202401.csv
R001-S16,スタッフR00116,R001_新宿店,アルバイト,1061,2024-01-02,11:00,15:05,0,4.1,False,4350.1,0.0,4350.1,0.0,shift_R001_202401.csv
R001-S17,スタッフR00117,R001_新宿店,アルバイト,1167,2024-01-02,19:00,00:54,0,5.9,True,6885.3,1721.32,8606.62,0.0,shift_R001_202401.csv
R001-S19,スタッフR00119,R001_新宿店,パート,1131,2024-01-02,10:00,13:18,0,3.3,False,3732.3,0.0,3732.3,0.0,shift_R001_202401.csv
R001-S01,スタッフR00101,R001_新宿店,アルバイト,1090,2024-01-03,18:00,22:24,0,4.4,True,4796.0,1199.0,5995.0,0.0,shift_R001_202401.csv
