date,staff_name,role,start_time,end_time,hourly_rate,break_minutes
2024-01-01,田中,ホール,09:00,13:00,1000,0
2024-01-01,鈴木,キッチン,10:00,18:00,1200,60
2024-01-01,佐藤,レジ,11:00,19:00,1100,30
2024-01-02,伊藤,ホール,09:00,17:00,1050,60
2024-01-02,山田,キッチン,10:00,19:00,1250,60
2024-01-02,小林,ホール,14:00,22:00,1000,30
2024-01-03,田中,キッチン,09:00,18:00,1200,60
2024-01-03,鈴木,レジ,11:00,19:00,1100,30
2024-01-03,佐藤,ホール,15:00,22:00,1000,0
2024-01-04,伊藤,レジ,09:00,17:00,1050,60
2024-01-04,山田,ホール,10:00,18:00,1000,30
2024-01-04,小林,キッチン,14:00,22:00,1300,30
2024-01-05,田中,ホール,09:00,13:00,1000,0
2024-01-05,鈴木,ホール,10:00,18:00,1000,60
2024-01-05,佐藤,キッチン,11:00,20:00,1200,30
2024-01-08,伊藤,ホール,09:00,17:00,1050,60
2024-01-08,山田,レジ,10:00,19:00,1100,60
2024-01-08,小林,ホール,14:00,22:00,1000,30
2024-01-09,田中,キッチン,09:00,18:00,1200,60
2024-01-09,鈴木,レジ,11:00,19:00,1100,30
2024-01-09,佐藤,ホール,15:00,22:00,1000,0
2024-01-10,伊藤,レジ,09:00,17:00,1050,60
2024-01-10,山田,ホール,10:00,18:00,1000,30
2024-01-10,小林,キッチン,14:00,22:00,1300,30
2024-01-11,田中,ホール,09:00,13:00,1000,0
2024-01-11,鈴木,ホール,10:00,18:00,1000,60
2024-01-11,佐藤,キッチン,11:00,20:00,1200,30
2024-01-15,伊藤,ホール,09:00,17:00,1050,60
2024-01-15,山田,レジ,10:00,19:00,1100,60
2024-01-15,小林,ホール,14:00,22:00,1000,30
2024-01-16,田中,キッチン,09:00,18:00,1200,60
2024-01-16,鈴木,レジ,11:00,19:00,1100,30
2024-01-16,佐藤,ホール,15:00,22:00,1000,0
2024-01-17,伊藤,レジ,09:00,17:00,1050,60
2024-01-17,山田,ホール,10:00,18:00,1000,30
2024-01-17,小林,キッチン,14:00,22:00,1300,30
2024-01-22,田中,ホール,09:00,13:00,1000,0
2024-01-22,鈴木,ホール,10:00,18:00,1000,60
2024-01-22,佐藤,キッチン,11:00,20:00,1200,30
2024-01-29,伊藤,ホール,09:00,17:00,1050,60
