勤務日,社員番号,社員名,所属部門,出勤,退勤,休憩時間,有給
2024/01/01,EMP-680,社員001,人事部,09:02,19:51,60,0
2024/01/02,EMP-680,社員001,人事部,09:04,18:49,60,0
2024/01/03,EMP-680,社員001,人事部,09:00,17:30,60,1
2024/01/04,EMP-680,社員001,人事部,09:11,19:13,60,0
2024/01/05,EMP-680,社員001,人事部,09:19,19:28,60,0
2024/01/08,EMP-680,社員001,人事部,08:08,17:37,60,0
2024/01/09,EMP-680,社員001,人事部,09:10,17:15,60,0
2024/01/10,EMP-680,社員001,人事部,09:24,19:01,60,0
2024/01/11,EMP-680,社員001,人事部,09:06,19:38,60,0
2024/01/12,EMP-680,社員001,人事部,09:20,17:50,60,0
2024/01/15,EMP-680,社員001,人事部,09:12,17:15,60,0
2024/01/16,EMP-680,社員001,人事部,08:23,18:08,60,0
2024/01/17,EMP-680,社員001,人事部,09:11,19:43,60,0
2024/01/18,EMP-680,社員001,人事部,09:00,17:30,60,1
2024/01/19,EMP-680,社員001,人事部,08:50,18:32,60,0
2024/01/22,EMP-680,社員001,人事部,09:13,19:25,60,0
2024/01/23,EMP-680,社員001,人事部,08:17,17:19,60,0
2024/01/24,EMP-680,社員001,人事部,08:34,18:25,60,0
2024/01/25,EMP-680,社員001,人事部,08:19,19:27,60,0
2024/01/26,EMP-680,社員001,人事部,08:15,17:59,60,0
2024/01/29,EMP-680,社員001,人事部,08:19,19:47,60,0
2024/01/30,EMP-680,社員001,人事部,09:00,17:30,60,1
2024/01/31,EMP-680,社員001,人事部,09:16,19:50,60,0
2024/01/01,EMP-300,社員002,人事部,09:04,19:49,60,0
2024/01/02,EMP-300,社員002,人事部,08:49,17:21,60,0
2024/01/03,EMP-300,社員002,人事部,08:16,19:36,60,0
2024/01/04,EMP-300,社員002,人事部,09:01,18:54,60,0
2024/01/05,EMP-300,社員002,人事部,09:24,17:57,60,0
2024/01/08,EMP-300,社員002,人事部,09:00,17:30,60,1
2024/01/09,EMP-300,社員002,人事部,08:02,18:23,60,0
2024/01/10,EMP-300,社員002,人事部,08:35,19:47,60,0
2024/01/11,EMP-300,社員002,人事部,08:26,19:20,60,0
2024/01/12,EMP-300,社員002,人事部,09:03,19:43,60,0
2024/01/15,EMP-300,社員002,人事部,08:25,17:56,60,0
2024/01/16,EMP-300,社員002,人事部,09:10,17:35,60,0
2024/01/17,EMP-300,社員002,人事部,09:18,18:47,60,0
2024/01/18,EMP-300,社員002,人事部,09:24,17:46,60,0
2024/01/19,EMP-300,社員002,人事部,08:09,17:59,60,0
2024/01/22,EMP-300,社員002,人事部,09:00,17:30,60,1
2024/01/23,EMP-300,社員002,人事部,09:27,19:46,60,0
2024/01/24,EMP-300,社員002,人事部,08:26,18:03,60,0
2024/01/25,EMP-300,社員002,人事部,09:02,17:58,60,0
2024/01/26,EMP-300,社員002,人事部,09:22,18:29,60,0
2024/01/29,EMP-300,社員002,人事部,08:32,17:40,60,0
2024/01/30,EMP-300,社員002,人事部,08:27,19:08,60,0
2024/01/31,EMP-300,社員002,人事部,09:29,18:44,60,0
2024/01/01,EMP-731,社員003,人事部,09:08,17:04,60,0
2024/01/02,EMP-731,社員003,人事部,08:09,17:10,60,0
2024/01/03,EMP-731,社員003,人事部,08:34,18:49,60,0
2024/01/04,EMP-731,社員003,人事部,09:27,17:05,60,0
2024/01/05,EMP-731,社員003,人事部,08:13,18:09,60,0
2024/01/08,EMP-731,社員003,人事部,09:12,19:03,60,0
2024/01/09,EMP-731,社員003,人事部,08:01,18:54,60,0
2024/01/10,EMP-731,社員003,人事部,08:06,18:06,60,0
2024/01/11,EMP-731,社員003,人事部,08:03,17:08,60,0
2024/01/12,EMP-731,社員003,人事部,08:37,19:16,60,0
2024/01/15,EMP-731,社員003,人事部,08:12,19:28,60,0
2024/01/16,EMP-731,社員003,人事部,09:03,17:29,60,0
2024/01/17,EMP-731,社員003,人事部,09:26,19:25,60,0
2024/01/18,EMP-731,社員003,人事部,09:05,18:13,60,0
2024/01/19,EMP-731,社員003,人事部,09:28,17:02,60,0
2024/01/22,EMP-731,社員003,人事部,09:15,18:56,60,0
2024/01/23,EMP-731,社員003,人事部,09:12,17:26,60,0
2024/01/24,EMP-731,社員003,人事部,09:00,17:30,60,1
2024/01/25,EMP-731,社員003,人事部,09:15,19:50,60,0
2024/01/26,EMP-731,社員003,人事部,09:00,17:30,60,1
2024/01/29,EMP-731,社員003,人事部,08:57,18:03,60,0
2024/01/30,EMP-731,社員003,人事部,09:24,19:14,60,0
2024/01/31,EMP-731,社員003,人事部,08:17,19:52,60,0
2024/01/01,EMP-608,社員004,人事部,08:36,18:22,60,0
2024/01/02,EMP-608,社員004,人事部,08:11,17:37,60,0
2024/01/03,EMP-608,社員004,人事部,09:29,19:01,60,0
2024/01/04,EMP-608,社員004,人事部,08:36,17:53,60,0
2024/01/05,EMP-608,社員004,人事部,09:17,18:11,60,0
2024/01/08,EMP-608,社員004,人事部,08:38,17:01,60,0
2024/01/10,EMP-608,社員004,人事部,08:51,17:21,60,0
2024/01/11,EMP-608,社員004,人事部,09:01,17:09,60,0
2024/01/12,EMP-608,社員004,人事部,08:54,19:55,60,0
2024/01/15,EMP-608,社員004,人事部,09:18,17:21,60,0
2024/01/16,EMP-608,社員004,人事部,08:46,18:50,60,0
2024/01/17,EMP-608,社員004,人事部,09:05,19:35,60,0
2024/01/18,EMP-608,社員004,人事部,09:07,19:37,60,0
2024/01/19,EMP-608,社員004,人事部,09:00,17:30,60,1
2024/01/22,EMP-608,社員004,人事部,09:27,19:02,60,0
2024/01/23,EMP-608,社員004,人事部,08:40,19:06,60,0
2024/01/24,EMP-608,社員004,人事部,08:15,18:20,60,0
2024/01/25,EMP-608,社員004,人事部,08:52,19:42,60,0
2024/01/26,EMP-608,社員004,人事部,09:00,18:13,60,0
2024/01/29,EMP-608,社員004,人事部,09:00,17:30,60,1
2024/01/30,EMP-608,社員004,人事部,09:05,18:31,60,0
2024/01/31,EMP-608,社員004,人事部,09:03,18:50,60,0
2024/01/01,EMP-798,社員005,人事部,08:10,18:04,60,0
2024/01/02,EMP-798,社員005,人事部,08:20,18:06,60,0
2024/01/03,EMP-798,社員005,人事部,09:05,19:04,60,0
2024/01/04,EMP-798,社員005,人事部,08:21,19:39,60,0
2024/01/05,EMP-798,社員005,人事部,09:30,19:10,60,0
2024/01/08,EMP-798,社員005,人事部,08:06,18:13,60,0
2024/01/09,EMP-798,社員005,人事部,09:21,18:19,60,0
2024/01/10,EMP-798,社員005,人事部,09:00,17:30,60,1
2024/01/11,EMP-798,社員005,人事部,09:06,17:01,60,0
2024/01/12,EMP-798,社員005,人事部,08:30,17:19,60,0
2024/01/15,EMP-798,社員005,人事部,09:02,19:34,60,0
2024/01/16,EMP-798,社員005,人事部,09:00,17:30,60,1
2024/01/17,EMP-798,社員005,人事部,09:07,18:36,60,0
2024/01/18,EMP-798,社員005,人事部,08:05,19:22,60,0
2024/01/19,EMP-798,社員005,人事部,08:35,17:53,60,0
2024/01/22,EMP-798,社員005,人事部,09:18,17:30,60,0
2024/01/23,EMP-798,社員005,人事部,08:32,19:57,60,0
2024/01/24,EMP-798,社員005,人事部,08:07,18:11,60,0
2024/01/25,EMP-798,社員005,人事部,09:00,17:30,60,1
2024/01/26,EMP-798,社員005,人事部,09:06,19:09,60,0
2024/01/29,EMP-798,社員005,人事部,08:05,18:35,60,0
2024/01/30,EMP-798,社員005,人事部,09:16,18:58,60,0
2024/01/31,EMP-798,社員005,人事部,09:03,18:09,60,0
2024/01/01,EMP-167,社員006,人事部,08:59,17:36,60,0
2024/01/02,EMP-167,社員006,人事部,09:28,18:16,60,0
2024/01/03,EMP-167,社員006,人事部,09:01,17:17,60,0
2024/01/04,EMP-167,社員006,人事部,09:01,18:56,60,0
2024/01/05,EMP-167,社員006,人事部,08:47,18:58,60,0
2024/01/08,EMP-167,社員006,人事部,09:26,18:19,60,0
2024/01/09,EMP-167,社員006,人事部,08:55,17:08,60,0
2024/01/10,EMP-167,社員006,人事部,09:08,19:26,60,0
2024/01/11,EMP-167,社員006,人事部,09:06,18:47,60,0
2024/01/12,EMP-167,社員006,人事部,09:26,17:32,60,0
2024/01/15,EMP-167,社員006,人事部,09:04,19:56,60,0
2024/01/16,EMP-167,社員006,人事部,09:00,17:30,60,1
2024/01/17,EMP-167,社員006,人事部,09:22,17:17,60,0
2024/01/18,EMP-167,社員006,人事部,09:00,17:30,60,1
2024/01/19,EMP-167,社員006,人事部,09:05,18:37,60,0
2024/01/22,EMP-167,社員006,人事部,09:23,19:05,60,0
2024/01/23,EMP-167,社員006,人事部,08:54,19:49,60,0
2024/01/24,EMP-167,社員006,人事部,08:43,17:17,60,0
2024/01/25,EMP-167,社員006,人事部,08:30,17:41,60,0
2024/01/26,EMP-167,社員006,人事部,08:16,19:51,60,0
2024/01/29,EMP-167,社員006,人事部,09:13,18:54,60,0
2024/01/30,EMP-167,社員006,人事部,09:09,19:33,60,0
2024/01/31,EMP-167,社員006,人事部,08:00,19:42,60,0
2024/01/01,EMP-487,社員007,人事部,09:09,19:06,60,0
2024/01/02,EMP-487,社員007,人事部,09:20,18:55,60,0
