date,employee_id,employee_name,department,clock_in,clock_out,break_minutes,paid_leave,actual_work_hours,overtime_hours,clock_imputed,source_file
2024-01-01,EMP-340,社員001,営業部,08:47,18:15,60,0,8.47,0.47000000000000064,False,01_営業部_勤怠_202401.csv
2024-01-02,EMP-340,社員001,営業部,09:00,17:30,60,1,7.5,0.0,False,01_営業部_勤怠_202401.csv
2024-01-03,EMP-340,社員001,営業部,08:35,17:45,60,0,8.17,0.16999999999999993,False,01_営業部_勤怠_202401.csv
2024-01-04,EMP-340,社員001,営業部,08:28,19:17,60,0,9.82,1.8200000000000003,False,01_営業部_勤怠_202401.csv
2024-01-08,EMP-340,社員001,営業部,09:10,18:09,60,0,7.98,0.0,False,01_営業部_勤怠_202401.csv
2024-01-09,EMP-340,社員001,営業部,08:05,18:06,60,0,9.02,1.0199999999999996,False,01_営業部_勤怠_202401.csv
2024-01-10,EMP-340,社員001,営業部,09:25,17:46,60,0,7.35,0.0,False,01_営業部_勤怠_202401.csv
2024-01-11,EMP-340,社員001,営業部,09:02,19:18,60,0,9.27,1.2699999999999996,False,01_営業部_勤怠_202401.csv
2024-01-12,EMP-340,社員001,営業部,09:18,17:45,60,0,7.45,0.0,False,01_営業部_勤怠_202401.csv
2024-01-15,EMP-340,社員001,営業部,09:02,17:55,60,0,7.88,0.0,False,01_営業部_勤怠_202401.csv
2024-01-16,EMP-340,社員001,営業部,09:05,18:22,60,0,8.28,0.27999999999999936,False,01_営業部_勤怠_202401.csv
2024-01-17,EMP-340,社員001,営業部,08:38,19:10,60,0,9.53,1.5299999999999994,False,01_営業部_勤怠_202401.csv
2024-01-18,EMP-340,社員001,営業部,09:12,18:59,60,0,8.78,0.7799999999999994,False,01_営業部_勤怠_202401.csv
2024-01-19,EMP-340,社員001,営業部,09:26,17:14,60,0,6.8,0.0,False,01_営業部_勤怠_202401.csv
2024-01-22,EMP-340,社員001,営業部,09:08,17:13,60,0,7.08,0.0,False,01_営業部_勤怠_202401.csv
2024-01-23,EMP-340,社員001,営業部,09:06,19:31,60,0,9.42,1.42,False,01_営業部_勤怠_202401.csv
2024-01-24,EMP-340,社員001,営業部,09:04,18:08,60,0,8.07,0.07000000000000028,False,01_営業部_勤怠_202401.csv
2024-01-25,EMP-340,社員001,営業部,09:23,19:27,60,0,9.07,1.0700000000000003,False,01_営業部_勤怠_202401.csv
2024-01-26,EMP-340,社員001,営業部,08:08,19:31,60,0,10.38,2.380000000000001,False,01_営業部_勤怠_202401.csv
2024-01-29,EMP-340,社員001,営業部,08:09,19:10,60,0,10.02,2.0199999999999996,False,01_営業部_勤怠_202401.csv
2024-01-30,EMP-340,社員001,営業部,08:24,18:38,60,0,9.23,1.2300000000000004,False,01_営業部_勤怠_202401.csv
2024-01-31,EMP-340,社員001,営業部,08:43,19:07,60,0,9.4,1.4000000000000004,False,01_営業部_勤怠_202401.csv
2024-01-01,EMP-466,社員002,営業部,09:24,19:21,60,0,8.95,0.9499999999999993,False,01_営業部_勤怠_202401.csv
2024-01-02,EMP-466,社員002,営業部,09:00,19:56,60,0,9.93,1.9299999999999997,False,01_営業部_勤怠_202401.csv
2024-01-03,EMP-466,社員002,営業部,08:32,17:55,60,0,8.38,0.3800000000000008,False,01_営業部_勤怠_202401.csv
2024-01-04,EMP-466,社員002,営業部,08:09,18:48,60,0,9.65,1.6500000000000004,False,01_営業部_勤怠_202401.csv
2024-01-05,EMP-466,社員002,営業部,09:00,17:30,60,1,7.5,0.0,False,01_営業部_勤怠_202401.csv
2024-01-08,EMP-466,社員002,営業部,09:07,17:15,60,0,7.13,0.0,False,01_営業部_勤怠_202401.csv
2024-01-09,EMP-466,社員002,営業部,08:46,18:52,60,0,9.1,1.0999999999999996,False,01_営業部_勤怠_202401.csv
2024-01-10,EMP-466,社員002,営業部,08:08,19:30,60,0,10.37,2.369999999999999,False,01_営業部_勤怠_202401.csv
2024-01-11,EMP-466,社員002,営業部,09:30,17:59,60,0,7.48,0.0,False,01_営業部_勤怠_202401.csv
2024-01-12,EMP-466,社員002,営業部,08:45,18:25,60,0,8.67,0.6699999999999999,False,01_営業部_勤怠_202401.csv
2024-01-15,EMP-466,社員002,営業部,09:28,19:28,60,0,9.0,1.0,False,01_営業部_勤怠_202401.csv
2024-01-16,EMP-466,社員002,営業部,09:00,19:35,60,0,9.58,1.58,False,01_営業部_勤怠_202401.csv
2024-01-17,EMP-466,社員002,営業部,08:45,19:03,60,0,9.3,1.3000000000000007,False,01_営業部_勤怠_202401.csv
2024-01-18,EMP-466,社員002,営業部,09:02,19:15,60,0,9.22,1.2200000000000006,False,01_営業部_勤怠_202401.csv
2024-01-19,EMP-466,社員002,営業部,08:46,19:36,60,0,9.83,1.83,False,01_営業部_勤怠_202401.csv
2024-01-22,EMP-466,社員002,営業部,09:06,17:06,60,0,7.0,0.0,False,01_営業部_勤怠_202401.csv
2024-01-23,EMP-466,社員002,営業部,09:14,19:03,60,0,8.82,0.8200000000000003,False,01_営業部_勤怠_202401.csv
2024-01-24,EMP-466,社員002,営業部,08:03,18:46,60,0,9.72,1.7200000000000006,False,01_営業部_勤怠_202401.csv
2024-01-25,EMP-466,社員002,営業部,08:12,17:34,60,0,8.37,0.3699999999999992,False,01_営業部_勤怠_202401.csv
2024-01-26,EMP-466,社員002,営業部,09:14,17:55,60,0,7.68,0.0,False,01_営業部_勤怠_202401.csv
2024-01-29,EMP-466,社員002,営業部,08:03,19:34,60,0,10.52,2.5199999999999996,False,01_営業部_勤怠_202401.csv
2024-01-30,EMP-466,社員002,営業部,08:10,18:31,60,0,9.35,1.3499999999999996,False,01_営業部_勤怠_202401.csv
2024-01-31,EMP-466,社員002,営業部,08:10,18:00,60,0,8.83,0.8300000000000001,False,01_営業部_勤怠_202401.csv
2024-01-01,EMP-655,社員003,営業部,09:09,18:44,60,0,8.58,0.5800000000000001,False,01_営業部_勤怠_202401.csv
2024-01-02,EMP-655,社員003,営業部,09:04,17:18,60,0,7.23,0.0,False,01_営業部_勤怠_202401.csv
