student_id,student_name,subject,attendance_rate,midterm_score,final_score,assignment_rate,engagement_score,enrollment_month,course,source_file,score_imputed,dropout_risk_score,risk_category
SID-001,受講生001,数学,95.5,80.4,94.3,92.4,3,12,基礎コース,01_受講生データ_A班_202401.csv,False,88.7,低リスク
SID-001,受講生001,英語,99.5,91.6,91.4,78.2,3,12,基礎コース,01_受講生データ_A班_202401.csv,False,90.2,低リスク
SID-001,受講生001,物理,89.0,78.0,97.1,91.1,4,12,基礎コース,01_受講生データ_A班_202401.csv,False,87.5,低リスク
SID-001,受講生001,国語,88.9,73.0,82.2,76.6,5,12,基礎コース,01_受講生データ_A班_202401.csv,False,82.3,低リスク
SID-001,受講生001,情報,96.6,87.1,90.3,83.9,3,12,基礎コース,01_受講生データ_A班_202401.csv,False,88.7,低リスク
SID-002,受講生002,数学,66.8,47.2,25.8,46.3,2,7,上級コース,01_受講生データ_A班_202401.csv,False,48.5,中リスク
SID-002,受講生002,英語,41.3,25.4,40.5,56.1,1,7,上級コース,01_受講生データ_A班_202401.csv,False,37.3,高リスク
SID-002,受講生002,物理,49.8,33.0,34.1,36.6,2,7,上級コース,01_受講生データ_A班_202401.csv,False,39.2,高リスク
SID-002,受講生002,国語,43.9,36.6,26.8,53.4,2,7,上級コース,01_受講生データ_A班_202401.csv,False,39.1,高リスク
SID-002,受講生002,情報,65.0,44.5,29.4,59.1,1,7,上級コース,01_受講生データ_A班_202401.csv,False,48.6,中リスク
SID-003,受講生003,数学,81.1,59.7,52.2,77.1,3,8,上級コース,01_受講生データ_A班_202401.csv,False,67.8,低リスク
SID-003,受講生003,英語,69.0,50.2,64.7,76.6,2,8,上級コース,01_受講生データ_A班_202401.csv,False,62.4,中リスク
SID-003,受講生003,物理,79.1,69.5,56.5,74.2,2,8,上級コース,01_受講生データ_A班_202401.csv,False,68.7,低リスク
SID-003,受講生003,国語,67.3,66.7,56.8,74.1,2,8,上級コース,01_受講生データ_A班_202401.csv,False,64.0,中リスク
SID-003,受講生003,情報,80.3,65.9,58.8,74.0,3,8,上級コース,01_受講生データ_A班_202401.csv,False,69.9,低リスク
SID-004,受講生004,数学,40.9,35.3,26.4,44.3,1,9,応用コース,01_受講生データ_A班_202401.csv,False,35.1,高リスク
SID-004,受講生004,英語,65.6,28.2,21.7,39.8,2,9,応用コース,01_受講生データ_A班_202401.csv,False,41.6,中リスク
SID-004,受講生004,物理,59.9,39.5,43.5,53.3,1,9,応用コース,01_受講生データ_A班_202401.csv,False,47.5,中リスク
SID-004,受講生004,国語,52.2,48.5,25.0,30.8,1,9,応用コース,01_受講生データ_A班_202401.csv,False,40.0,中リスク
SID-004,受講生004,情報,61.7,36.2,24.8,47.5,1,9,応用コース,01_受講生データ_A班_202401.csv,False,42.7,中リスク
SID-005,受講生005,数学,68.0,67.4,56.2,69.5,2,12,応用コース,01_受講生データ_A班_202401.csv,False,63.6,中リスク
SID-005,受講生005,英語,77.6,59.0,47.2,63.0,2,12,応用コース,01_受講生データ_A班_202401.csv,False,62.0,中リスク
SID-005,受講生005,物理,84.2,72.7,62.5,66.6,3,12,応用コース,01_受講生データ_A班_202401.csv,False,72.6,低リスク
SID-005,受講生005,国語,80.6,67.9,56.2,66.8,3,12,応用コース,01_受講生データ_A班_202401.csv,False,68.9,低リスク
SID-005,受講生005,情報,66.9,72.6,56.4,65.1,3,12,応用コース,01_受講生データ_A班_202401.csv,False,65.1,低リスク
SID-006,受講生006,数学,76.6,54.4,66.4,79.0,2,5,応用コース,01_受講生データ_A班_202401.csv,False,66.8,低リスク
SID-006,受講生006,英語,79.4,60.8,60.7,74.6,2,5,応用コース,01_受講生データ_A班_202401.csv,False,67.6,低リスク
SID-006,受講生006,物理,66.7,60.4,46.0,72.3,3,5,応用コース,01_受講生データ_A班_202401.csv,False,61.0,中リスク
SID-006,受講生006,国語,71.6,53.6,47.6,74.7,3,5,応用コース,01_受講生データ_A班_202401.csv,False,61.7,中リスク
SID-006,受講生006,情報,83.5,64.5,53.7,74.8,2,5,応用コース,01_受講生データ_A班_202401.csv,False,68.6,低リスク
SID-007,受講生007,数学,80.5,98.5,79.3,94.6,3,7,基礎コース,01_受講生データ_A班_202401.csv,False,85.3,低リスク
SID-007,受講生007,英語,89.7,82.2,97.5,89.3,3,7,基礎コース,01_受講生データ_A班_202401.csv,False,87.3,低リスク
SID-007,受講生007,物理,89.5,74.3,73.3,88.0,5,7,基礎コース,01_受講生データ_A班_202401.csv,False,82.8,低リスク
SID-007,受講生007,国語,80.4,93.9,95.8,78.5,4,7,基礎コース,01_受講生データ_A班_202401.csv,False,86.3,低リスク
SID-007,受講生007,情報,91.1,68.8,86.9,82.0,3,7,基礎コース,01_受講生データ_A班_202401.csv,False,81.3,低リスク
SID-008,受講生008,数学,94.5,91.9,64.3,97.9,4,9,基礎コース,01_受講生データ_A班_202401.csv,False,87.3,低リスク
SID-008,受講生008,英語,84.6,66.3,82.2,84.3,3,9,基礎コース,01_受講生データ_A班_202401.csv,False,77.8,低リスク
SID-008,受講生008,物理,96.2,76.1,98.1,82.3,5,9,基礎コース,01_受講生データ_A班_202401.csv,False,89.7,低リスク
SID-008,受講生008,国語,90.3,74.0,97.4,79.1,4,9,基礎コース,01_受講生データ_A班_202401.csv,False,85.2,低リスク
SID-008,受講生008,情報,88.7,99.7,95.7,93.7,3,9,基礎コース,01_受講生データ_A班_202401.csv,False,91.7,低リスク
SID-009,受講生009,数学,97.8,96.3,80.8,82.9,3,12,基礎コース,01_受講生データ_A班_202401.csv,False,89.4,低リスク
SID-009,受講生009,英語,93.2,78.1,63.8,93.7,5,12,基礎コース,01_受講生データ_A班_202401.csv,False,84.0,低リスク
SID-009,受講生009,物理,85.2,97.8,69.6,78.1,3,12,基礎コース,01_受講生データ_A班_202401.csv,False,82.4,低リスク
SID-009,受講生009,国語,83.1,71.3,84.0,96.9,5,12,基礎コース,01_受講生データ_A班_202401.csv,False,83.2,低リスク
SID-009,受講生009,情報,83.9,75.9,91.1,99.3,4,12,基礎コース,01_受講生データ_A班_202401.csv,False,85.2,低リスク
SID-010,受講生010,数学,82.9,65.5,69.2,78.3,4,7,基礎コース,01_受講生データ_A班_202401.csv,False,74.7,低リスク
SID-010,受講生010,英語,93.6,69.3,80.3,92.4,5,7,基礎コース,01_受講生データ_A班_202401.csv,False,85.0,低リスク
SID-010,受講生010,物理,84.0,93.1,88.6,93.5,4,7,基礎コース,01_受講生データ_A班_202401.csv,False,88.2,低リスク
SID-010,受講生010,国語,82.6,69.3,97.1,84.9,5,7,基礎コース,01_受講生データ_A班_202401.csv,False,83.4,低リスク
SID-010,受講生010,情報,89.8,88.2,98.2,82.2,3,7,基礎コース,01_受講生データ_A班_202401.csv,False,88.0,低リスク
SID-011,受講生011,数学,83.5,50.6,58.9,75.8,3,5,基礎コース,01_受講生データ_A班_202401.csv,False,67.5,低リスク
SID-011,受講生011,英語,67.8,60.5,69.2,74.9,2,5,基礎コース,01_受講生データ_A班_202401.csv,False,65.2,低リスク
SID-011,受講生011,物理,83.7,70.1,56.7,79.6,3,5,基礎コース,01_受講生データ_A班_202401.csv,False,72.6,低リスク
SID-011,受講生011,国語,67.2,70.7,64.9,65.8,2,5,基礎コース,01_受講生データ_A班_202401.csv,False,65.3,低リスク
SID-011,受講生011,情報,75.6,65.2,66.7,75.1,2,5,基礎コース,01_受講生データ_A班_202401.csv,False,68.6,低リスク
SID-012,受講生012,数学,51.2,34.9,39.6,60.4,1,4,上級コース,01_受講生データ_A班_202401.csv,False,43.6,中リスク
SID-012,受講生012,英語,53.6,28.7,27.1,56.1,2,4,上級コース,01_受講生データ_A班_202401.csv,False,41.0,中リスク
SID-012,受講生012,物理,43.2,22.3,37.8,35.1,2,4,上級コース,01_受講生データ_A班_202401.csv,False,34.8,高リスク
SID-012,受講生012,国語,64.7,30.9,24.3,62.2,2,4,上級コース,01_受講生データ_A班_202401.csv,False,45.8,中リスク
SID-012,受講生012,情報,48.5,25.4,23.5,30.7,1,4,上級コース,01_受講生データ_A班_202401.csv,False,32.6,高リスク
SID-013,受講生013,数学,66.1,54.4,46.3,74.8,3,5,基礎コース,01_受講生データ_A班_202401.csv,False,59.7,中リスク
SID-013,受講生013,英語,72.9,57.9,57.6,81.9,3,5,基礎コース,01_受講生データ_A班_202401.csv,False,66.3,低リスク
SID-013,受講生013,物理,82.0,51.1,49.5,65.9,2,5,基礎コース,01_受講生データ_A班_202401.csv,False,62.5,中リスク
SID-013,受講生013,国語,76.4,60.4,46.2,69.3,2,5,基礎コース,01_受講生データ_A班_202401.csv,False,62.7,中リスク
SID-013,受講生013,情報,75.5,52.5,65.8,61.3,2,5,基礎コース,01_受講生データ_A班_202401.csv,False,63.2,中リスク
SID-014,受講生014,数学,82.0,94.5,96.1,99.5,5,9,基礎コース,01_受講生データ_A班_202401.csv,False,91.5,低リスク
SID-014,受講生014,英語,96.0,92.3,85.7,94.5,5,9,基礎コース,01_受講生データ_A班_202401.csv,False,93.0,低リスク
SID-014,受講生014,物理,90.7,83.0,94.3,86.6,3,9,基礎コース,01_受講生データ_A班_202401.csv,False,86.8,低リスク
SID-014,受講生014,国語,87.7,87.4,70.7,78.5,4,9,基礎コース,01_受講生データ_A班_202401.csv,False,82.2,低リスク
SID-014,受講生014,情報,88.3,73.1,74.7,84.2,4,9,基礎コース,01_受講生データ_A班_202401.csv,False,80.5,低リスク
SID-015,受講生015,数学,71.5,59.5,62.1,67.4,3,12,基礎コース,01_受講生データ_A班_202401.csv,False,64.9,中リスク
SID-015,受講生015,英語,83.3,62.0,53.2,73.4,3,12,基礎コース,01_受講生データ_A班_202401.csv,False,68.8,低リスク
SID-015,受講生015,物理,82.0,66.3,65.1,73.3,3,12,基礎コース,01_受講生データ_A班_202401.csv,False,71.8,低リスク
SID-015,受講生015,国語,70.8,68.4,50.1,77.4,3,12,基礎コース,01_受講生データ_A班_202401.csv,False,66.0,低リスク
SID-015,受講生015,情報,82.2,53.3,60.4,62.4,3,12,基礎コース,01_受講生データ_A班_202401.csv,False,66.0,低リスク
SID-016,受講生016,数学,66.7,73.4,48.4,84.0,3,8,基礎コース,01_受講生データ_A班_202401.csv,False,66.5,低リスク
SID-016,受講生016,英語,81.0,64.8,64.6,79.9,3,8,基礎コース,01_受講生データ_A班_202401.csv,False,72.0,低リスク
SID-016,受講生016,物理,70.1,64.8,47.4,75.4,3,8,基礎コース,01_受講生データ_A班_202401.csv,False,64.0,中リスク
SID-016,受講生016,国語,68.4,64.1,59.3,71.6,3,8,基礎コース,01_受講生データ_A班_202401.csv,False,65.1,低リスク
SID-016,受講生016,情報,80.3,70.0,57.3,75.0,3,8,基礎コース,01_受講生データ_A班_202401.csv,False,70.8,低リスク
SID-017,受講生017,数学,98.6,69.2,64.7,77.2,4,11,上級コース,01_受講生データ_A班_202401.csv,False,80.1,低リスク
SID-017,受講生017,英語,88.4,92.1,86.8,83.3,4,11,上級コース,01_受講生データ_A班_202401.csv,False,87.6,低リスク
SID-017,受講生017,物理,98.0,91.7,70.8,84.1,4,11,上級コース,01_受講生データ_A班_202401.csv,False,87.7,低リスク
SID-017,受講生017,国語,83.2,70.2,97.4,85.9,3,11,上級コース,01_受講生データ_A班_202401.csv,False,81.5,低リスク
