instructor_id,name,specialty,employment_type,session_date,course_name,lesson_count,attendee_count,venue,hourly_rate
INS-005,伊藤四郎,マネジメント,外部講師,2024-01-01,1on1面談スキル,1,12,大阪支社会議室,6299
INS-005,伊藤四郎,マネジメント,外部講師,2024-01-01,コーチング入門,1,29,新宿研修センター,6299
INS-019,斉藤哲也,IT・デジタル,契約社員,2024-01-01,データ分析基礎,1,9,新宿研修センター,3840
INS-007,山本健太,コンプライアンス,契約社員,2024-01-01,情報セキュリティ研修,1,9,東京本社A会議室,3086
INS-007,山本健太,コンプライアンス,契約社員,2024-01-01,個人情報保護法,1,16,新宿研修センター,3086
INS-007,山本健太,コンプライアンス,契約社員,2024-01-01,コンプライアンス概論,1,23,大阪支社会議室,3086
INS-003,鈴木次郎,コンプライアンス,正社員,2024-01-01,個人情報保護法,1,6,新宿研修センター,2655
INS-014,井上彩,語学,正社員,2024-01-02,英語プレゼン,1,12,オンライン(Zoom),2761
INS-017,清水大輔,営業スキル,正社員,2024-01-02,顧客対応基礎,1,26,オンライン(Zoom),2513
INS-004,高橋三郎,コンプライアンス,正社員,2024-01-02,内部統制基礎,1,20,名古屋オフィス,2439
INS-004,高橋三郎,コンプライアンス,正社員,2024-01-02,コンプライアンス概論,1,18,オンライン(Teams),2439
INS-004,高橋三郎,コンプライアンス,正社員,2024-01-02,個人情報保護法,1,8,名古屋オフィス,2439
INS-003,鈴木次郎,コンプライアンス,正社員,2024-01-02,個人情報保護法,1,13,オンライン(Zoom),2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024-01-02,個人情報保護法,1,25,オンライン(Zoom),2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024-01-02,情報セキュリティ研修,1,22,オンライン(Teams),2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024-01-02,個人情報保護法,1,15,名古屋オフィス,2655
INS-016,林奈央,IT・デジタル,外部講師,2024-01-02,DX推進セミナー,1,27,東京本社A会議室,7358
INS-016,林奈央,IT・デジタル,外部講師,2024-01-02,クラウド活用研修,1,25,オンライン(Teams),7358
INS-016,林奈央,IT・デジタル,外部講師,2024-01-02,Pythonプログラミング入門,1,29,オンライン(Zoom),7358
INS-008,中村真理,IT・デジタル,正社員,2024-01-02,DX推進セミナー,1,18,大阪支社会議室,2698
INS-008,中村真理,IT・デジタル,正社員,2024-01-02,セキュリティ基礎,1,19,名古屋オフィス,2698
INS-013,松本正樹,コンプライアンス,正社員,2024-01-02,情報セキュリティ研修,1,9,オンライン(Teams),2736
INS-013,松本正樹,コンプライアンス,正社員,2024-01-02,ハラスメント防止,1,20,東京本社A会議室,2736
INS-013,松本正樹,コンプライアンス,正社員,2024-01-02,ハラスメント防止,1,7,東京本社A会議室,2736
INS-013,松本正樹,コンプライアンス,正社員,2024-01-02,ハラスメント防止,1,7,名古屋オフィス,2736
INS-006,渡辺美咲,マネジメント,外部講師,2024-01-02,チームビルディング,1,16,新宿研修センター,7576
INS-002,佐藤花子,営業スキル,正社員,2024-01-03,営業データ分析,1,16,東京本社A会議室,2774
INS-002,佐藤花子,営業スキル,正社員,2024-01-03,顧客対応基礎,1,23,オンライン(Zoom),2774
INS-002,佐藤花子,営業スキル,正社員,2024-01-03,営業データ分析,1,11,新宿研修センター,2774
INS-002,佐藤花子,営業スキル,正社員,2024-01-03,顧客対応基礎,1,26,名古屋オフィス,2774
INS-019,斉藤哲也,IT・デジタル,契約社員,2024-01-03,セキュリティ基礎,1,22,大阪支社会議室,3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024-01-03,データ分析基礎,1,8,大阪支社会議室,3840
INS-018,山口遥,語学,外部講師,2024-01-03,英文ビジネスライティング,1,29,オンライン(Zoom),5384
INS-018,山口遥,語学,外部講師,2024-01-03,英文ビジネスライティング,1,24,オンライン(Teams),5384
INS-011,吉田拓也,IT・デジタル,正社員,2024-01-03,クラウド活用研修,1,26,オンライン(Teams),2527
INS-004,高橋三郎,コンプライアンス,正社員,2024-01-03,個人情報保護法,1,15,大阪支社会議室,2439
INS-004,高橋三郎,コンプライアンス,正社員,2024-01-03,ハラスメント防止,1,5,新宿研修センター,2439
INS-004,高橋三郎,コンプライアンス,正社員,2024-01-03,情報セキュリティ研修,1,9,オンライン(Zoom),2439
INS-007,山本健太,コンプライアンス,契約社員,2024-01-03,個人情報保護法,1,21,新宿研修センター,3086
