社員番号,講師名,担当分野,雇用形態,開催日,研修名,担当コマ,参加人数,開催場所,単価
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月01日,情報セキュリティ研修,1,29,オンライン(Zoom),2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月01日,情報セキュリティ研修,1,28,オンライン(Teams),2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月01日,コンプライアンス概論,1,22,新宿研修センター,2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月01日,個人情報保護法,1,20,新宿研修センター,2655
INS-018,山口遥,語学,外部講師,2024年01月01日,TOEIC対策,1,11,オンライン(Teams),5384
INS-018,山口遥,語学,外部講師,2024年01月01日,英文ビジネスライティング,1,8,オンライン(Teams),5384
INS-018,山口遥,語学,外部講師,2024年01月01日,TOEIC対策,1,29,名古屋オフィス,5384
INS-007,山本健太,コンプライアンス,契約社員,2024年01月01日,情報セキュリティ研修,1,17,新宿研修センター,3086
INS-007,山本健太,コンプライアンス,契約社員,2024年01月01日,情報セキュリティ研修,1,22,大阪支社会議室,3086
INS-002,佐藤花子,営業スキル,正社員,2024年01月01日,ネゴシエーション,1,13,大阪支社会議室,2774
INS-002,佐藤花子,営業スキル,正社員,2024年01月01日,プレゼンスキル,1,21,名古屋オフィス,2774
INS-002,佐藤花子,営業スキル,正社員,2024年01月01日,ネゴシエーション,1,19,東京本社A会議室,2774
INS-009,小林誠,IT・デジタル,正社員,2024年01月01日,クラウド活用研修,1,6,オンライン(Zoom),2201
INS-009,小林誠,IT・デジタル,正社員,2024年01月01日,データ分析基礎,1,12,オンライン(Teams),2201
INS-009,小林誠,IT・デジタル,正社員,2024年01月01日,データ分析基礎,1,9,東京本社A会議室,2201
INS-009,小林誠,IT・デジタル,正社員,2024年01月01日,データ分析基礎,1,13,オンライン(Zoom),2201
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月02日,DX推進セミナー,1,15,大阪支社会議室,3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月02日,データ分析基礎,1,29,名古屋オフィス,3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月02日,DX推進セミナー,1,28,オンライン(Teams),3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月02日,セキュリティ基礎,1,28,名古屋オフィス,3840
INS-014,井上彩,語学,正社員,2024年01月02日,ビジネス英語,1,20,新宿研修センター,2761
INS-014,井上彩,語学,正社員,2024年01月02日,グローバルコミュニケーション,1,22,オンライン(Teams),2761
INS-014,井上彩,語学,正社員,2024年01月02日,ビジネス英語,1,6,オンライン(Zoom),2761
INS-014,井上彩,語学,正社員,2024年01月02日,グローバルコミュニケーション,1,6,東京本社A会議室,2761
INS-010,加藤由美,営業スキル,正社員,2024年01月02日,顧客対応基礎,1,18,新宿研修センター,2094
INS-005,伊藤四郎,マネジメント,外部講師,2024年01月02日,リーダーシップ研修,1,11,オンライン(Zoom),6299
INS-005,伊藤四郎,マネジメント,外部講師,2024年01月02日,リーダーシップ研修,1,19,大阪支社会議室,6299
INS-007,山本健太,コンプライアンス,契約社員,2024年01月02日,情報セキュリティ研修,1,26,オンライン(Zoom),3086
INS-006,渡辺美咲,マネジメント,外部講師,2024年01月02日,チームビルディング,1,5,オンライン(Zoom),7576
INS-006,渡辺美咲,マネジメント,外部講師,2024年01月02日,リーダーシップ研修,1,28,大阪支社会議室,7576
INS-006,渡辺美咲,マネジメント,外部講師,2024年01月02日,1on1面談スキル,1,22,大阪支社会議室,7576
INS-006,渡辺美咲,マネジメント,外部講師,2024年01月02日,1on1面談スキル,1,5,オンライン(Zoom),7576
INS-004,高橋三郎,コンプライアンス,正社員,2024年01月02日,コンプライアンス概論,1,9,新宿研修センター,2439
INS-004,高橋三郎,コンプライアンス,正社員,2024年01月02日,コンプライアンス概論,1,11,オンライン(Zoom),2439
INS-004,高橋三郎,コンプライアンス,正社員,2024年01月02日,個人情報保護法,1,21,大阪支社会議室,2439
INS-004,高橋三郎,コンプライアンス,正社員,2024年01月02日,個人情報保護法,1,16,大阪支社会議室,2439
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月03日,ハラスメント防止,1,7,オンライン(Teams),2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月03日,コンプライアンス概論,1,25,東京本社A会議室,2655
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月03日,内部統制基礎,1,17,オンライン(Zoom),7927
INS-013,松本正樹,コンプライアンス,正社員,2024年01月03日,個人情報保護法,1,18,オンライン(Teams),2736
INS-013,松本正樹,コンプライアンス,正社員,2024年01月03日,個人情報保護法,1,30,大阪支社会議室,2736
