instructor_id,name,specialty,employment_type,session_date,course_name,lesson_count,attendee_count,venue,hourly_rate,source_file,lesson_hours,lesson_cost,cost_per_attendee,workload_flag
INS-018,山口遥,語学,外部講師,2024-01-01,グローバルコミュニケーション,1.0,12.0,大阪支社会議室,5384.0,01_instructor_schedule_styleA.csv,1.5,8076.0,673.0,通常
INS-018,山口遥,語学,外部講師,2024-01-01,ビジネス英語,1.0,7.0,新宿研修センター,5384.0,01_instructor_schedule_styleA.csv,1.5,8076.0,1153.71,通常
INS-010,加藤由美,営業スキル,正社員,2024-01-01,ネゴシエーション,1.0,19.0,オンライン(Teams),2094.0,01_instructor_schedule_styleA.csv,1.5,3141.0,165.32,通常
INS-012,山田早苗,コンプライアンス,外部講師,2024-01-01,個人情報保護法,1.0,27.0,オンライン(Teams),7927.0,01_instructor_schedule_styleA.csv,1.5,11890.0,440.37,通常
INS-012,山田早苗,コンプライアンス,外部講師,2024-01-01,ハラスメント防止,1.0,25.0,東京本社A会議室,7927.0,01_instructor_schedule_styleA.csv,1.5,11890.0,475.6,通常
INS-012,山田早苗,コンプライアンス,外部講師,2024-01-01,情報セキュリティ研修,1.0,24.0,オンライン(Teams),7927.0,01_instructor_schedule_styleA.csv,1.5,11890.0,495.42,通常
INS-018,山口遥,語学,外部講師,2024-01-02,TOEIC対策,1.0,15.0,東京本社A会議室,5384.0,01_instructor_schedule_styleA.csv,1.5,8076.0,538.4,通常
INS-018,山口遥,語学,外部講師,2024-01-02,英文ビジネスライティング,1.0,12.0,東京本社A会議室,5384.0,01_instructor_schedule_styleA.csv,1.5,8076.0,673.0,通常
INS-018,山口遥,語学,外部講師,2024-01-02,グローバルコミュニケーション,1.0,30.0,大阪支社会議室,5384.0,01_instructor_schedule_styleA.csv,1.5,8076.0,269.2,通常
INS-018,山口遥,語学,外部講師,2024-01-02,TOEIC対策,1.0,17.0,大阪支社会議室,5384.0,01_instructor_schedule_styleA.csv,1.5,8076.0,475.06,通常
INS-008,中村真理,IT・デジタル,正社員,2024-01-02,データ分析基礎,1.0,23.0,オンライン(Teams),2698.0,01_instructor_schedule_styleA.csv,1.5,4047.0,175.96,通常
INS-006,渡辺美咲,マネジメント,外部講師,2024-01-02,目標管理(MBO),1.0,25.0,名古屋オフィス,7576.0,01_instructor_schedule_styleA.csv,1.5,11364.0,454.56,通常
INS-006,渡辺美咲,マネジメント,外部講師,2024-01-02,1on1面談スキル,1.0,9.0,大阪支社会議室,7576.0,01_instructor_schedule_styleA.csv,1.5,11364.0,1262.67,通常
INS-006,渡辺美咲,マネジメント,外部講師,2024-01-02,コーチング入門,1.0,9.0,新宿研修センター,7576.0,01_instructor_schedule_styleA.csv,1.5,11364.0,1262.67,通常
INS-015,木村隆二,コンプライアンス,外部講師,2024-01-02,情報セキュリティ研修,1.0,16.0,新宿研修センター,7153.0,01_instructor_schedule_styleA.csv,1.5,10730.0,670.62,通常
INS-015,木村隆二,コンプライアンス,外部講師,2024-01-02,内部統制基礎,1.0,9.0,オンライン(Zoom),7153.0,01_instructor_schedule_styleA.csv,1.5,10730.0,1192.22,通常
INS-015,木村隆二,コンプライアンス,外部講師,2024-01-02,内部統制基礎,1.0,20.0,東京本社A会議室,7153.0,01_instructor_schedule_styleA.csv,1.5,10730.0,536.5,通常
INS-004,高橋三郎,コンプライアンス,正社員,2024-01-03,内部統制基礎,1.0,13.0,オンライン(Zoom),2439.0,01_instructor_schedule_styleA.csv,1.5,3658.0,281.38,通常
INS-004,高橋三郎,コンプライアンス,正社員,2024-01-03,ハラスメント防止,1.0,5.0,オンライン(Teams),2439.0,01_instructor_schedule_styleA.csv,1.5,3658.0,731.6,通常
INS-004,高橋三郎,コンプライアンス,正社員,2024-01-03,内部統制基礎,1.0,28.0,東京本社A会議室,2439.0,01_instructor_schedule_styleA.csv,1.5,3658.0,130.64,通常
INS-004,高橋三郎,コンプライアンス,正社員,2024-01-03,内部統制基礎,1.0,26.0,オンライン(Zoom),2439.0,01_instructor_schedule_styleA.csv,1.5,3658.0,140.69,通常
INS-005,伊藤四郎,マネジメント,外部講師,2024-01-03,チームビルディング,1.0,10.0,名古屋オフィス,6299.0,01_instructor_schedule_styleA.csv,1.5,9448.0,944.8,通常
INS-005,伊藤四郎,マネジメント,外部講師,2024-01-03,目標管理(MBO),1.0,5.0,オンライン(Teams),6299.0,01_instructor_schedule_styleA.csv,1.5,9448.0,1889.6,通常
INS-005,伊藤四郎,マネジメント,外部講師,2024-01-03,目標管理(MBO),1.0,28.0,大阪支社会議室,6299.0,01_instructor_schedule_styleA.csv,1.5,9448.0,337.43,通常
INS-006,渡辺美咲,マネジメント,外部講師,2024-01-03,1on1面談スキル,1.0,25.0,大阪支社会議室,7576.0,01_instructor_schedule_styleA.csv,1.5,11364.0,454.56,通常
