inquiry_id,received_at,completed_at,operator_id,operator_name,channel,inquiry_text,category,resolution,escalation,source_file,response_minutes,is_resolved,is_escalated
INQ-00001,2024-01-03 15:39,2024-01-03 16:39,OP-05,伊藤,メール,荷物が届かない,配送・到着,解決済,0,01_問い合わせログ_A_202401.csv,60,1,0
INQ-00002,2024-01-14 09:41,2024-01-14 09:47,OP-02,鈴木,電話,配送業者に問い合わせたい,配送・到着,解決済,0,01_問い合わせログ_A_202401.csv,6,1,0
INQ-00003,2024-01-17 17:44,2024-01-17 18:09,OP-04,高橋,電話,支払い方法を変更したい,請求・支払い,解決済,0,01_問い合わせログ_A_202401.csv,25,1,0
INQ-00004,2024-01-24 13:07,2024-01-24 13:23,OP-07,山本,チャット,チュートリアルが必要,その他,解決済,0,01_問い合わせログ_A_202401.csv,16,1,0
INQ-00005,2024-01-16 12:10,2024-01-16 12:44,OP-03,佐藤,チャット,返品したい,返品・交換,対応中,0,01_問い合わせログ_A_202401.csv,34,0,0
INQ-00006,2024-01-29 12:49,2024-01-29 13:37,OP-06,渡辺,SNS,エラーが出て動かない,製品不具合,解決済,0,01_問い合わせログ_A_202401.csv,48,1,0
INQ-00007,2024-01-14 11:05,2024-01-14 11:20,OP-05,伊藤,SNS,料金が間違っている,請求・支払い,対応中,0,01_問い合わせログ_A_202401.csv,15,0,0
INQ-00008,2024-01-18 16:49,2024-01-18 17:20,OP-02,鈴木,チャット,how to use,使い方・操作方法,解決済,0,01_問い合わせログ_A_202401.csv,31,1,0
INQ-00009,2024-01-06 15:42,2024-01-06 17:10,OP-01,田中,チャット,使い方を教えてほしい,使い方・操作方法,解決済,0,01_問い合わせログ_A_202401.csv,88,1,0
INQ-00010,2024-01-11 13:53,2024-01-11 14:16,OP-02,鈴木,SNS,その他の問い合わせ,その他,解決済,0,01_問い合わせログ_A_202401.csv,23,1,0
INQ-00011,2024-01-24 10:21,2024-01-24 11:05,OP-03,佐藤,メール,追跡番号を教えて,配送・到着,解決済,0,01_問い合わせログ_A_202401.csv,44,1,0
INQ-00012,2024-01-15 13:09,2024-01-15 13:55,OP-03,佐藤,メール,荷物が届かない,配送・到着,解決済,0,01_問い合わせログ_A_202401.csv,46,1,0
INQ-00013,2024-01-29 15:21,2024-01-29 15:42,OP-05,伊藤,メール,課金について質問,請求・支払い,エスカレ済,1,01_問い合わせログ_A_202401.csv,21,0,1
INQ-00014,2024-01-30 17:22,2024-01-30 18:16,OP-04,高橋,チャット,荷物が届かない,配送・到着,対応中,0,01_問い合わせログ_A_202401.csv,54,0,0
INQ-00015,2024-01-25 10:27,2024-01-25 10:43,OP-04,高橋,チャット,製品が壊れた,製品不具合,エスカレ済,1,01_問い合わせログ_A_202401.csv,16,0,1
INQ-00016,2024-01-05 11:13,2024-01-05 12:08,OP-07,山本,SNS,不具合が発生した,製品不具合,エスカレ済,1,01_問い合わせログ_A_202401.csv,55,0,1
INQ-00017,2024-01-30 12:09,2024-01-30 12:21,OP-04,高橋,チャット,支払い方法を変更したい,請求・支払い,対応中,0,01_問い合わせログ_A_202401.csv,12,0,0
INQ-00018,2024-01-26 09:18,2024-01-26 09:37,OP-07,山本,メール,到着予定日を確認したい,配送・到着,解決済,0,01_問い合わせログ_A_202401.csv,19,1,0
INQ-00019,2024-01-14 16:50,2024-01-14 17:29,OP-01,田中,メール,使い方を教えてほしい,使い方・操作方法,対応中,0,01_問い合わせログ_A_202401.csv,39,0,0
INQ-00020,2024-01-13 11:40,2024-01-13 12:19,OP-02,鈴木,SNS,how to use,使い方・操作方法,解決済,0,01_問い合わせログ_A_202401.csv,39,1,0
INQ-00021,2024-01-26 10:48,2024-01-26 11:29,OP-01,田中,電話,チュートリアルが必要,その他,解決済,0,01_問い合わせログ_A_202401.csv,41,1,0
INQ-00022,2024-01-01 16:39,2024-01-01 16:49,OP-05,伊藤,チャット,配送業者に問い合わせたい,配送・到着,対応中,0,01_問い合わせログ_A_202401.csv,10,0,0
INQ-00023,2024-01-09 16:33,2024-01-09 16:52,OP-03,佐藤,チャット,課金について質問,請求・支払い,解決済,0,01_問い合わせログ_A_202401.csv,19,1,0
INQ-00024,2024-01-15 09:08,2024-01-15 10:57,OP-02,鈴木,チャット,その他の問い合わせ,その他,対応中,0,01_問い合わせログ_A_202401.csv,109,0,0
INQ-00025,2024-01-14 15:39,2024-01-14 15:47,OP-04,高橋,メール,exchange request,返品・交換,解決済,0,01_問い合わせログ_A_202401.csv,8,1,0
